track,artist,charted,energy,tempo,speechiness,danceability,mode,key,liveness,valence,loudness,time_signature,duration_ms,acousticness,instrumentalness
Raining Blood,Slayer,False,,,,,,,,,,,,,
We're Not Gonna Take It,Twisted Sister,False,,,,,,,,,,,,,
I Wanna Rock,Twisted Sister,False,,,,,,,,,,,,,
You've Got Another Thing Comin',Judas Priest,False,,,,,,,,,,,,,
Rainbow in the Dark,Dio,False,,,,,,,,,,,,,
Love Hurts,Nazareth,False,,,,,,,,,,,,,
Territory,Sepultura,False,,,,,,,,,,,,,
Rock You Like A Hurricane,Scorpions,False,,,,,,,,,,,,,
Holy Diver,Dio,False,,,,,,,,,,,,,
Runnin' With The Devil,Van Halen,False,,,,,,,,,,,,,
Nemo,Nightwish,False,,,,,,,,,,,,,
Mother,Danzig,False,,,,,,,,,,,,,
Toothbrush,DNCE,False,,,,,,,,,,,,,
Lost And Found,Ellie Goulding,False,,,,,,,,,,,,,
You Raise Me Up,Josh Groban,False,,,,,,,,,,,,,
Privacy,Chris Brown,False,,,,,,,,,,,,,
Post to Be (feat. Chris Brown & Jhene Aiko),Omarion,False,,,,,,,,,,,,,
I'm a Mess,Bebe Rexha,False,,,,,,,,,,,,,
To the Max (feat. Drake),DJ Khaled,False,,,,,,,,,,,,,
Body Moves,DNCE,False,,,,,,,,,,,,,
Chanel,Frank Ocean,False,,,,,,,,,,,,,
Jumpsuit,Twenty One Pilots,False,,,,,,,,,,,,,
Who Do You Love?,YG,False,,,,,,,,,,,,,
Say My Name,David Guetta,False,,,,,,,,,,,,,
Either Way (feat. Joey Bada$$),Snakehips,False,,,,,,,,,,,,,
Dance To This (feat. Ariana Grande),Troye Sivan,False,,,,,,,,,,,,,
My Blood,Twenty One Pilots,False,,,,,,,,,,,,,
Suncity (feat. Empress Of),Khalid,False,,,,,,,,,,,,,
Gold,Kiiara,False,,,,,,,,,,,,,
Ride,Twenty One Pilots,False,,,,,,,,,,,,,
One Last Breath,Creed,False,,,,,,,,,,,,,
What You Know,Two Door Cinema Club,False,,,,,,,,,,,,,
Vasoline,Stone Temple Pilots,False,,,,,,,,,,,,,
Rag Doll,Aerosmith,False,,,,,,,,,,,,,
Hypnotize,System Of A Down,False,,,,,,,,,,,,,
Young And Menace,Fall Out Boy,False,,,,,,,,,,,,,
Heaven's On Fire,KISS,False,,,,,,,,,,,,,
Quarter Past Midnight,Bastille,False,,,,,,,,,,,,,
Separate Ways (Worlds Apart),Journey,False,,,,,,,,,,,,,
Tribute,Tenacious D,False,,,,,,,,,,,,,
Panama,Van Halen,False,,,,,,,,,,,,,
Danger Zone,Kenny Loggins,False,,,,,,,,,,,,,
Float On,Modest Mouse,False,,,,,,,,,,,,,
Hail to the King,Avenged Sevenfold,False,,,,,,,,,,,,,
One Way Or Another,Blondie,False,,,,,,,,,,,,,
Learning To Fly,Tom Petty and the Heartbreakers,False,,,,,,,,,,,,,
Gypsy Road,Cinderella,False,,,,,,,,,,,,,
Linger,The Cranberries,False,,,,,,,,,,,,,
Really Don't Care,Demi Lovato,False,,,,,,,,,,,,,
Fade Into You,Mazzy Star,False,,,,,,,,,,,,,
Cruise,Florida Georgia Line,False,,,,,,,,,,,,,
Life Of The Party,Shawn Mendes,False,,,,,,,,,,,,,
Isn't She Lovely,Stevie Wonder,False,,,,,,,,,,,,,
Harlem,Bill Withers,False,,,,,,,,,,,,,
Adorn,Miguel,False,,,,,,,,,,,,,
Rock Steady,Aretha Franklin,False,,,,,,,,,,,,,
Forever,HAIM,False,,,,,,,,,,,,,
Gas Pedal,Sage The Gemini,False,,,,,,,,,,,,,
Anna Sun,WALK THE MOON,False,,,,,,,,,,,,,
Bound 2,Kanye West,False,,,,,,,,,,,,,
