track_id,speechiness,duration_ms,tempo,energy,acousticness,valence,key,instrumentalness,liveness,loudness,danceability,time_signature,mode,track,charted,track_name,track_popularity,artist_id,artist_name,artist_popularity,artist_followers
0UZwcRQAk4QR09HtGRZhYC,0.12,273467,139.979,0.948,0.0101,0.102,6,4.49e-06,0.0809,-3.717,0.502,4,1,0UZwcRQAk4QR09HtGRZhYC,1000,Closer To The Edge,59,0RqtSIYZmd4fiBKVFqyIqD,Thirty Seconds To Mars,66,3249831
3ViMAvyCcmbRauKuoP2GJm,0.0682,193227,135.158,0.837,0.000147,0.757,0,6.62e-06,0.0788,-4.315,0.66,4,1,3ViMAvyCcmbRauKuoP2GJm,1000,Old Yellow Bricks,0,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,87,17060943
7L4XA2pZnSicDUqX9W4dhy,0.142,167187,177.038,0.858,0.0489,0.556,6,0.0,0.1,-4.057,0.521,4,1,7L4XA2pZnSicDUqX9W4dhy,1000,Heart of a Lion,0,3nUbzTTtP2w4HqvT5y5vkV,The Griswolds,46,95400
7LJF6AtijSniUJpmZTqKRj,0.0677,178840,96.076,0.951,0.00768,0.314,0,0.000102,0.755,-6.351,0.577,4,1,7LJF6AtijSniUJpmZTqKRj,1000,Kill Your Heroes,54,4njdEjTnLfcGImKZu1iSrz,AWOLNATION,61,2079330
2DF4QHB5c0vMAgaMJlx73e,0.0764,251493,127.568,0.804,0.00282,0.462,2,0.00105,0.071,-4.783,0.566,4,1,2DF4QHB5c0vMAgaMJlx73e,1000,Next Year,0,536BYVgOnRky0xjsPT96zl,Two Door Cinema Club,67,2211806
3ZUMC5OazTA8QtLpdlPdz9,0.11,175080,106.052,0.971,0.425,0.764,8,3.4e-06,0.105,-3.261,0.575,4,1,3ZUMC5OazTA8QtLpdlPdz9,1000,Sleepyhead,42,7gjAu1qr5C2grXeQFFOGeh,Passion Pit,57,1224723
6QU2cUKs4YTZFdGFdCDgrI,0.0906,296360,174.986,0.822,0.0371,0.144,2,0.24,0.057,-7.433,0.496,4,1,6QU2cUKs4YTZFdGFdCDgrI,1000,Deconstruction,0,2Ag3w3cSdRHgzPNi60WABE,Fanfarlo,27,43497
56dIfld2EW00CPbB3zA6GE,0.0342,377973,109.992,0.721,0.0755,0.555,4,0.122,0.169,-8.918,0.648,4,1,56dIfld2EW00CPbB3zA6GE,1000,Kaputt,0,22ojy4H4ZVpowC4lRRC8In,Destroyer,43,162141
52a6VcF23v5HB7KfDEmBHq,0.0344,221973,119.995,0.826,0.0176,0.871,0,8.56e-06,0.383,-5.135,0.772,4,1,52a6VcF23v5HB7KfDEmBHq,1000,Carried Away,57,7gjAu1qr5C2grXeQFFOGeh,Passion Pit,57,1224723
5wvYib82q05wiNjLElD8GJ,0.0386,257253,77.577,0.895,0.0293,0.463,11,0.0,0.116,-4.739,0.45,4,1,5wvYib82q05wiNjLElD8GJ,1000,Dig,62,3YcBF2ttyueytpXtEzn1Za,Incubus,67,2973665
4Jgp57InfWE4MxJLfheNVz,0.0406,449333,150.518,0.869,0.215,0.116,2,0.0028,0.357,-2.275,0.301,4,1,4Jgp57InfWE4MxJLfheNVz,1000,Champagne Supernova,0,2DaxqgrOhkeH0fpeiQq2f4,Oasis,75,7964681
3aLCMI1ybjE4KWu9nkUBkx,0.0322,163240,95.031,0.52,0.908,0.585,7,0.125,0.308,-9.828,0.809,4,1,3aLCMI1ybjE4KWu9nkUBkx,1000,Submarines,0,16oZKvXb6WkQlVAjwo2Wbg,The Lumineers,76,4937158
0jjphpegPbJIk0C6BSvTE5,0.042,206707,99.983,0.831,0.0038,0.57,7,6.2e-05,0.124,-4.568,0.685,4,1,0jjphpegPbJIk0C6BSvTE5,1000,Underdog,39,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,88,43605162
6J7cSyvSCnPwv3vqHchEfL,0.0279,243227,126.996,0.536,0.112,0.44,10,0.0,0.456,-8.158,0.584,4,1,6J7cSyvSCnPwv3vqHchEfL,1000,If It Means a Lot to You,0,4NiJW4q9ichVqL1aUsgGAN,A Day To Remember,69,2128449
1kUmkp42FTNSl5bZmjj5Xq,0.0439,182365,93.202,0.592,0.392,0.772,1,7.11e-05,0.135,-7.225,0.682,4,0,1kUmkp42FTNSl5bZmjj5Xq,1000,I'm a Mess,6,3xtK8y5UQ3YFudzNct4tsw,Body Language,29,23046
5quxrZTYgMATSD8ocr0den,0.0658,180133,142.858,0.866,0.00685,0.293,2,0.795,0.325,-3.163,0.353,4,1,5quxrZTYgMATSD8ocr0den,1000,Miracle Mile,0,6VDdCwrBM4qQaGxoAyxyJC,Cold War Kids,59,798448
5wLBkpEwHIlNZJaeh0s7bR,0.0266,256007,90.081,0.299,0.624,0.297,0,0.0308,0.0914,-10.634,0.557,4,1,5wLBkpEwHIlNZJaeh0s7bR,1000,Hello My Old Heart,0,3Fe3pszR2t4TOBVz41B1WR,The Oh Hellos,61,359962
3mga1z1FesVlx87hYPwLTf,0.0409,231000,147.477,0.863,0.0002,0.674,5,0.0343,0.142,-6.021,0.351,4,1,3mga1z1FesVlx87hYPwLTf,1000,Screaming Skull,0,0uI2HyW0eIbTbyH3S2XDHI,King Tuff,38,81435
0VnLohgzwLEleLmo19Z8B0,0.0331,204400,77.549,0.697,0.115,0.493,2,0.893,0.343,-6.758,0.374,4,1,0VnLohgzwLEleLmo19Z8B0,1000,Go Outside,41,3Oim8XBPbznAa8Jj8QzNc8,Cults,73,495183
1RwwmiVtLAtPmxAqKVfwgG,0.106,204400,190.024,0.891,0.00266,0.385,9,7.99e-06,0.281,-7.004,0.456,4,1,1RwwmiVtLAtPmxAqKVfwgG,1000,I Wanna Get Better,46,2eam0iDomRHGBypaDQLwWI,Bleachers,63,574904
57nNNkgk768QVXq3uHxu5e,0.0365,215520,101.031,0.827,0.00338,0.179,7,0.000647,0.26,-7.54,0.577,4,1,57nNNkgk768QVXq3uHxu5e,1000,Ways to Go,59,3kVUvbeRdcrqQ3oHk5hPdx,Grouplove,63,1113790
5cwN1htZyoWqZCc33f3RfE,0.0238,232200,79.955,0.638,0.0672,0.603,0,6.59e-06,0.283,-6.574,0.61,4,1,5cwN1htZyoWqZCc33f3RfE,1000,The High Road,64,6dgwEwnK0YtDfS9XhRwBTG,Broken Bells,59,560409
3pxDFUN3LrSGq6RrUKHtaG,0.042,182518,94.011,0.88,0.0521,0.751,1,0.000717,0.0539,-3.59,0.616,4,1,3pxDFUN3LrSGq6RrUKHtaG,1000,Cardiac Arrest,0,0YhUSm86okLWldQVwJkLlP,Bad Suns,58,448940
1G8jae4jD8mwkXdodqHsBM,0.0341,270000,73.97,0.701,0.0691,0.407,9,0.00182,0.0766,-5.943,0.464,4,1,1G8jae4jD8mwkXdodqHsBM,1000,Name,65,2sil8z5kiy4r76CRTXxBCA,The Goo Goo Dolls,70,2371692
3OtpZhuI28h9yDjDbOkqSb,0.0327,287000,81.806,0.597,0.0385,0.496,2,2.09e-06,0.109,-9.258,0.402,4,1,3OtpZhuI28h9yDjDbOkqSb,1000,Jane Says,31,02NfyD6AlLA12crYzw5YcR,Jane's Addiction,56,1241647
5P7nngjxxD0XID13bVGc7b,0.0414,378334,125.993,0.941,0.000278,0.806,9,0.754,0.333,-6.157,0.643,4,0,5P7nngjxxD0XID13bVGc7b,1000,Secret Weapon - Alex Metric Remix,26,4M2H1fDQR5ygAi7MMOVxAA,The Whip,29,28271
2UyWClHKt6fut3IpS2tJiR,0.0288,205587,125.976,0.736,0.0633,0.849,8,7.96e-06,0.0596,-6.269,0.681,4,1,2UyWClHKt6fut3IpS2tJiR,1000,Waste,57,7gP3bB2nilZXLfPHJhMdvc,Foster The People,70,3562530
0fPf9CDFzVnHpcfld5XVtO,0.0329,168667,109.899,0.708,0.00407,0.398,6,0.0,0.125,-4.74,0.571,4,1,0fPf9CDFzVnHpcfld5XVtO,1000,You've Got The Love,56,1moxjboGR7GNWYIMWsRjgG,Florence + The Machine,74,6096678
3HPfwpfUtcdyJPvlLtXtNg,0.0281,340320,155.028,0.846,0.00289,0.507,3,1.45e-05,0.142,-5.893,0.525,4,1,3HPfwpfUtcdyJPvlLtXtNg,1000,Sirens,0,1w5Kfo2jwwIPruYS2UWh56,Pearl Jam,73,7858934
14d9pTFIVWZN5hcrtfrgjc,0.0572,236880,169.639,0.9,0.0279,0.656,0,0.00129,0.305,-3.189,0.458,4,1,14d9pTFIVWZN5hcrtfrgjc,1000,I Will Buy You A New Life - Remastered 2004,43,694QW15WkebjcrWgQHzRYF,Everclear,58,849788
4Wvr1YaxNsCujq77dKujys,0.0459,226347,166.137,0.949,0.00501,0.517,8,2.13e-06,0.113,-3.369,0.385,4,1,4Wvr1YaxNsCujq77dKujys,1000,Believe,60,2bcrMsFlF632EQ6VZERWFu,The Bravery,52,230470
51UtgWS4z1eMPuLQOzPtNH,0.0455,211080,166.163,0.727,0.119,0.748,4,0.00427,0.1,-8.638,0.659,4,0,51UtgWS4z1eMPuLQOzPtNH,1000,Amber,61,41Q0HrwWBtuUkJc7C1Rp6K,311,60,889759
1kWja6NVaLZThMop9MYVDz,0.0366,136400,149.388,0.667,0.0738,0.916,9,0.0,0.0896,-6.199,0.662,4,1,1kWja6NVaLZThMop9MYVDz,1000,Wrong Way,0,0EdvGhlC1FkGItLOWQzG4J,Sublime,69,2377642
1aB3C7GKpCFgsdhqzfZW0U,0.0404,235587,128.004,0.841,0.00246,0.247,4,0.00128,0.289,-5.039,0.524,4,0,1aB3C7GKpCFgsdhqzfZW0U,1000,Bloodshake,33,2O9XW1nnGRMkMV1wpK8IiS,Peace,41,103160
3nCkURI30dSOA2ibF493nf,0.036,206052,180.048,0.668,0.212,0.842,0,0.0615,0.27,-6.849,0.415,4,1,3nCkURI30dSOA2ibF493nf,1000,One For The Road,0,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,87,17060943
2IzMlIwhoCWV3E3JrF9gq1,0.167,194827,146.156,0.243,0.424,0.648,7,0.776,0.0308,-19.972,0.664,4,1,2IzMlIwhoCWV3E3JrF9gq1,1000,Johnny Too Bad,28,1aTDTChWWyiJH3SEnYrdVp,Taj Mahal,53,182659
7egyR1d4Xmr1TsmpJct9bL,0.0272,178000,94.646,0.459,0.528,0.591,7,0.0173,0.131,-13.128,0.589,4,1,7egyR1d4Xmr1TsmpJct9bL,1000,Midnight Rider,0,4wQ3PyMz3WwJGI5uEqHUVR,Allman Brothers Band,62,1388886
4Eh2LpK2I86jhh4wdEkout,0.0617,237360,113.231,0.495,0.467,0.891,2,0.521,0.17,-14.495,0.537,3,1,4Eh2LpK2I86jhh4wdEkout,1000,I'm Your Hoochie Coochie Man,25,4y6J8jwRAwO4dssiSmN91R,Muddy Waters,55,1185061
200NKBM3GwUA1TL8anMr4k,0.0371,289867,93.557,0.661,0.159,0.722,4,7.27e-06,0.0747,-8.561,0.47,4,0,200NKBM3GwUA1TL8anMr4k,1000,Early In The Morning,0,5xLSa7l4IV1gsQfhAMvl0U,B.B. King,61,2484777
4PyuPcG1CPABSGk9KElBbb,0.0488,265667,95.471,0.834,0.0963,0.935,2,0.0952,0.12,-5.467,0.409,4,1,4PyuPcG1CPABSGk9KElBbb,1000,What'd I Say - Mono,0,2ScuQMRWThcifBRIvNDFDC,John Mayall & The Bluesbreakers,47,376846
1e6qkPMUiaWZfVk7WdRByQ,0.0331,178907,99.617,0.765,0.315,0.95,7,0.000246,0.244,-4.577,0.632,4,1,1e6qkPMUiaWZfVk7WdRByQ,1000,Standing At The Crossroads,26,0q9kpdDkEA3H17gcRMjgVS,Elmore James,44,174174
47GPlXb3Zhg0UarP3qKQjP,0.0649,199840,137.715,0.953,0.533,0.752,1,0.0,0.433,-3.303,0.558,4,1,47GPlXb3Zhg0UarP3qKQjP,1000,Something's Got a Hold on Me,25,1VeXFwuDf93VRV6Qoe5RkV,Jools Holland & Paloma Faith,9,666
2y42MmBCfEhqIkFAJs0V8Z,0.058,129440,143.937,0.502,0.253,0.374,11,0.883,0.345,-8.898,0.515,4,0,2y42MmBCfEhqIkFAJs0V8Z,1000,Black Mud,37,7mnBLXK823vNxN3UWB7Gfz,The Black Keys,69,3768862
0N43gVkShRcLlQx4y8bi0X,0.0564,187899,68.962,0.448,0.905,0.543,0,0.00756,0.0894,-8.181,0.375,4,1,0N43gVkShRcLlQx4y8bi0X,1000,She Don't Move Me No More,0,5xLSa7l4IV1gsQfhAMvl0U,B.B. King,61,2484777
3tbDILoDBJC0rHZgRMM482,0.0415,187360,133.316,0.447,0.937,0.827,4,0.000936,0.124,-10.142,0.598,4,0,3tbDILoDBJC0rHZgRMM482,1000,Roberta,0,3Ovf2lytXSXWFM2cwsJACC,Lead Belly,39,170659
1XRSazlB37HWPch5mSEOlR,0.054,215800,108.072,0.709,0.035,0.772,9,0.0103,0.0865,-13.415,0.64,4,1,1XRSazlB37HWPch5mSEOlR,1000,Give Me Back My Wig,0,737qPoiQQkeuIzuJy54aK4,Hound Dog Taylor,37,47616
3LkhowDvQ0ky3LQ5L6TLFk,0.316,192640,139.573,0.939,0.0893,0.373,9,0.015,0.617,-8.797,0.417,4,1,3LkhowDvQ0ky3LQ5L6TLFk,1000,Got My Mojo Working - Live,29,4y6J8jwRAwO4dssiSmN91R,Muddy Waters,55,1185061
1oLVPN07o3aAgKAVWjhRRn,0.0364,223587,122.425,0.653,0.00168,0.93,8,0.00626,0.23,-9.578,0.519,4,1,1oLVPN07o3aAgKAVWjhRRn,1000,I'm Cryin',38,5fsDcuclIe8ZiBD5P787K1,Stevie Ray Vaughan,61,2204876
5qEo2fMErPaePE6EMT2mjR,0.046,131422,120.869,0.615,0.279,0.826,1,0.0162,0.132,-7.583,0.531,4,1,5qEo2fMErPaePE6EMT2mjR,1000,Onions,0,1yNOfXGQNGjAynk77wv85x,John Lee Hooker,56,777015
2XJBHxDHgimhJ67fzpp8Ip,0.0282,300880,104.615,0.449,0.416,0.169,0,0.00105,0.107,-8.153,0.384,3,0,2XJBHxDHgimhJ67fzpp8Ip,1000,Your Heart Is As Black As Night,0,2SNzxY1OsSCHBLVi77mpPQ,Joe Bonamassa,56,819592
0s0DGX441A6uZCJr7UW2eK,0.073,312973,74.685,0.409,0.799,0.379,4,1.81e-05,0.126,-7.543,0.606,4,0,0s0DGX441A6uZCJr7UW2eK,1000,You Done Lost Your Good Thing Now,0,5xLSa7l4IV1gsQfhAMvl0U,B.B. King,61,2484777
