track,artist,charted,energy,tempo,speechiness,danceability,mode,key,liveness,valence,loudness,time_signature,duration_ms,acousticness,instrumentalness
Say Something,A Great Big World,True,0.147,141.284,0.0355,0.407,1,2,0.0913,0.0765,-8.822,3,229400,0.857,2.89e-06
The Hell Song,Sum 41,True,0.935,173.429,0.0817,0.359,0,8,0.351,0.658,-5.529,4,198493,0.000143,0.0141
Skinny Love,Birdy,True,0.29,166.467,0.051,0.379,1,4,0.118,0.169,-8.485,4,201080,0.952,0.00106
Call Me When You're Sober,Evanescence,True,0.876,93.444,0.0518,0.449,1,7,0.296,0.358,-4.09,4,214707,0.00159,0
The Phoenix,Fall Out Boy,True,0.964,138.063,0.072,0.562,0,4,0.579,0.41,-2.991,4,244960,0.000539,1.57e-06
First Day Of My Life,Bright Eyes,True,0.201,95.345,0.0363,0.602,1,4,0.0952,0.385,-17.024,4,188800,0.915,8.28e-05
Catch The Wind,Donovan,True,0.284,173.345,0.0286,0.393,1,3,0.105,0.58,-12.778,3,175187,0.416,1.07e-05
Budapest,George Ezra,True,0.247,127.812,0.0311,0.706,1,5,0.103,0.424,-17.961,4,202120,0.261,0
Good Times,CHIC,True,0.657,110.596,0.0522,0.87,1,2,0.053,0.893,-7.32,4,495400,0.149,0.0102
Low Rider,War,True,0.647,139.787,0.0498,0.811,1,0,0.0572,0.99,-10.989,4,191560,0.0823,0.681
Play That Funky Music,Wild Cherry,True,0.87,109.174,0.0592,0.822,1,9,0.045,0.901,-6.257,4,301800,0.124,0
Funkin' for Jamaica,Tom Browne,True,0.776,111.212,0.217,0.854,1,8,0.0549,0.656,-9.85,4,280933,0.436,0.175
The Payback,James Brown,True,0.793,97.685,0.284,0.838,1,6,0.21,0.73,-8.924,4,447680,0.212,2.19e-05
Superstition,Stevie Wonder,True,0.751,100.437,0.0806,0.648,1,8,0.0418,0.863,-8.582,4,244827,0.0182,0.000401
Pick Up the Pieces,Average White Band,True,0.853,107.234,0.0427,0.768,0,10,0.0188,0.889,-5.915,4,239908,0.0548,0.13
Get Up Offa That Thing,James Brown,True,0.664,118.104,0.411,0.883,1,4,0.941,0.8,-10.395,4,250200,0.225,2.3e-06
I Want Your Love,CHIC,True,0.723,113.121,0.0382,0.706,1,5,0.0994,0.937,-9.235,4,415467,0.0232,0.0441
Go With The Flow,Queens of the Stone Age,True,0.991,159.39,0.087,0.246,1,9,0.867,0.415,-3.903,4,187147,0.00944,0.0753
Easy,Faith No More,True,0.46,124.578,0.034,0.498,0,10,0.11,0.356,-9.243,4,189000,0.266,0.000799
My Hero,Foo Fighters,True,0.925,153.981,0.0659,0.364,1,4,0.0603,0.301,-4.224,4,258973,6.01e-05,0.000251
Give It Away,Red Hot Chili Peppers,True,0.989,91.558,0.0616,0.683,0,9,0.0964,0.781,-2.092,4,284267,0.00579,0.00108
100%,Sonic Youth,True,0.888,117.046,0.0646,0.451,1,7,0.386,0.299,-9.898,4,149293,0.00151,0.00542
Pretty Noose,Soundgarden,True,0.925,150.893,0.0643,0.389,1,0,0.222,0.317,-7.97,4,251867,1.79e-05,0.244
Freak,Silverchair,True,0.883,118.058,0.0652,0.539,0,6,0.0606,0.405,-6.614,4,226107,0.00451,1.38e-06
Swallowed,Bush,True,0.546,179.651,0.0348,0.276,1,1,0.283,0.124,-9.095,4,290867,0.00112,4.25e-05
Smells Like Teen Spirit,Nirvana,True,0.875,116.754,0.0429,0.48,1,1,0.103,0.826,-5.898,4,300827,1.62e-05,0.000751
Awful,Hole,True,0.967,136.331,0.0632,0.377,1,4,0.111,0.646,-5.479,4,196000,3.83e-05,0.0579
Lucid Dreams,Juice WRLD,True,0.566,83.903,0.2,0.511,0,6,0.34,0.218,-7.23,4,239836,0.349,0
I'm Upset,Drake,True,0.586,150.002,0.343,0.899,0,11,0.0836,0.492,-7.866,4,214467,0.279,0
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,True,0.526,94.992,0.293,0.781,0,6,0.0457,0.662,-6.985,4,235613,0.0619,0
Man's Not Hot,Big Shaq,True,0.884,135.048,0.236,0.905,1,0,0.107,0.588,-4.076,4,186027,0.111,8.31e-05
Bad and Boujee (feat. Lil Uzi Vert),Migos,True,0.666,127.079,0.244,0.926,1,11,0.123,0.168,-5.314,4,343150,0.0611,0
For Free (feat. Drake),DJ Khaled,True,0.571,103.521,0.2,0.916,0,10,0.153,0.498,-8.241,4,183695,0.0173,1.11e-06
Break Ya Neck,Busta Rhymes,True,0.809,83.011,0.251,0.82,0,4,0.0613,0.737,-6.759,4,231240,0.443,0.00175
Hate Me Now (feat. Diddy),Nas,True,0.77,90.0,0.222,0.678,0,9,0.109,0.412,-4.399,4,284000,0.00583,0
All Mine,Kanye West,True,0.308,122.099,0.338,0.925,0,11,0.0933,0.265,-6.562,4,145507,0.125,0
Ghost Town,Kanye West,True,0.543,83.364,0.0287,0.572,0,7,0.329,0.329,-4.251,4,271387,0.0954,0
Can't Let You Go (feat. Mike Shorey & Lil' Mo),Fabolous,True,0.614,192.235,0.451,0.681,1,9,0.0829,0.803,-6.562,4,223560,0.231,0
Show Me (feat. Chris Brown),Kid Ink,True,0.508,98.098,0.0502,0.711,1,7,0.141,0.663,-7.299,4,217800,0.0355,0
Don't Cry (feat. XXXTENTACION),Lil Wayne,True,0.71,112.014,0.331,0.618,1,8,0.183,0.233,-6.066,4,249450,0.407,0
I Got 5 On It,Luniz,True,0.706,173.926,0.361,0.6,0,10,0.125,0.58,-7.899,4,253533,0.209,0
Sing For The Moment,Eminem,True,0.824,163.961,0.137,0.668,0,5,0.0426,0.185,-4.164,4,339547,0.0017,3.05e-06
Get Low,Lil Jon & The East Side Boyz,True,0.621,101.007,0.0376,0.771,1,1,0.124,0.154,-7.453,4,334067,0.0297,0
Walk It Talk It,Migos,True,0.633,145.914,0.184,0.907,1,2,0.106,0.395,-5.145,4,276147,0.0876,2.6e-06
Bodak Yellow,Cardi B,True,0.703,125.022,0.103,0.926,0,11,0.231,0.485,-6.337,4,223713,0.0659,0
Little Donkey,Gracie Fields,True,0.19,91.582,0.029,0.472,1,5,0.358,0.301,-9.699,4,215359,0.976,0
Rockin' Around the Christmas Tree,Brenda Lee,True,0.285,69.945,0.0416,0.66,0,5,0.408,0.862,-17.002,4,127866,0.75,0
It's the Most Wonderful Time of the Year,Andy Williams,True,0.598,201.629,0.0369,0.24,1,7,0.117,0.776,-8.435,3,151933,0.766,0
Jingle Bell Rock,Bobby Rydell,True,0.603,133.513,0.0358,0.727,1,2,0.0892,0.942,-7.754,4,151400,0.42,0
Finger Of Suspicion,Dickie Valentine,True,0.113,72.647,0.0316,0.548,1,4,0.484,0.375,-11.435,4,169332,0.951,1.36e-05
Am I Wrong,Nico & Vinz,True,0.68,119.939,0.0306,0.725,1,8,0.158,0.76,-5.465,4,247520,0.162,2.13e-06
Hangover,Taio Cruz,True,0.888,128.032,0.0454,0.604,0,0,0.117,0.635,-3.282,4,244507,0.00868,0
Infinity 2008,Guru Josh Project,True,0.849,127.999,0.0576,0.493,0,7,0.355,0.483,-6.139,4,190013,0.000337,0.00672
Changes,Faul & Wad,True,0.704,125.999,0.0374,0.822,0,3,0.0633,0.255,-8.242,4,345173,0.00864,0.627
Wild Ones (feat. Sia),Flo Rida,True,0.889,127.019,0.0504,0.624,0,5,0.227,0.45,-3.772,4,233688,0.101,0
Hideaway,Kiesza,True,0.601,122.961,0.054,0.863,0,7,0.0676,0.178,-6.978,4,251960,0.109,0.00764
As Your Friend,Afrojack,True,0.769,128.028,0.0688,0.655,1,6,0.292,0.812,-4.445,4,240005,0.0429,0
We Found Love,Rihanna,True,0.74,127.98,0.0407,0.755,1,1,0.124,0.609,-4.951,4,215760,0.0225,0.00139
Dirty Talk,Wynter Gordon,True,0.789,130.01,0.0342,0.689,1,11,0.104,0.895,-5.459,4,197187,0.0342,0.00129
Feel This Moment (feat. Christina Aguilera),Pitbull,True,0.758,135.958,0.158,0.668,1,7,0.204,0.531,-3.589,4,229507,0.0338,0
Icarus,Madeon,True,0.841,126.113,0.0529,0.48,0,1,0.111,0.143,-2.267,4,214267,0.000245,0.303
Happy When It Rains,The Jesus and Mary Chain,True,0.84,125.319,0.0346,0.499,1,10,0.238,0.732,-6.642,4,217313,0.000564,0.171
Pumped Up Kicks,Foster The People,True,0.71,127.975,0.0292,0.733,0,5,0.0956,0.965,-5.849,4,239600,0.145,0.115
In the Mood,Glenn Miller,True,0.398,82.768,0.11,0.645,1,8,0.0731,0.705,-12.208,4,211587,0.854,0.306
Unsquare Dance,Dave Brubeck,True,0.512,116.981,0.0745,0.647,1,7,0.0989,0.582,-13.619,4,119827,0.0504,0.925
Mi Gente,J Balvin,True,0.704,104.666,0.0777,0.548,0,11,0.143,0.288,-4.838,4,185040,0.0168,2.25e-05
Here I Go Again,Whitesnake,True,,,,,,,,,,,,,
Run to the Hills,Iron Maiden,True,,,,,,,,,,,,,
The Trooper,Iron Maiden,True,,,,,,,,,,,,,
Jump,Van Halen,True,,,,,,,,,,,,,
Wind Of Change,Scorpions,True,,,,,,,,,,,,,
Fear of the Dark,Iron Maiden,True,,,,,,,,,,,,,
Master Of Puppets,Metallica,True,,,,,,,,,,,,,
Is This Love,Whitesnake,True,,,,,,,,,,,,,
Symphony Of Destruction,Megadeth,True,,,,,,,,,,,,,
The Final Countdown,Europe,True,,,,,,,,,,,,,
Feed My Frankenstein,Alice Cooper,True,,,,,,,,,,,,,
Roots Bloody Roots,Sepultura,True,,,,,,,,,,,,,
Breaking the Law,Judas Priest,True,,,,,,,,,,,,,
No More Tears,Ozzy Osbourne,True,,,,,,,,,,,,,
Poison,Alice Cooper,True,,,,,,,,,,,,,
Enter Sandman,Metallica,True,,,,,,,,,,,,,
Walk,Pantera,True,,,,,,,,,,,,,
Paranoid,Black Sabbath,True,,,,,,,,,,,,,
Hello,Adele,True,,,,,,,,,,,,,
