track,artist,charted,energy,tempo,speechiness,danceability,mode,key,liveness,valence,loudness,time_signature,duration_ms,acousticness,instrumentalness
I Say a Little Prayer,Aretha Franklin,True,,,,,,,,,,,,,
Gimme All Your Lovin',ZZ Top,True,,,,,,,,,,,,,
When a Man Loves a Woman,Percy Sledge,True,,,,,,,,,,,,,
I'd Rather Go Blind,Chicken Shack,True,,,,,,,,,,,,,
Going Up The Country,Canned Heat,True,,,,,,,,,,,,,
Need Your Love so Bad,Fleetwood Mac,True,,,,,,,,,,,,,
Oh My God,Kaiser Chiefs,True,,,,,,,,,,,,,
Love Is A Losing Game,Amy Winehouse,True,,,,,,,,,,,,,
The Killing Moon,Echo & the Bunnymen,True,,,,,,,,,,,,,
Tender,Blur,True,,,,,,,,,,,,,
I Fought the Law,The Clash,True,,,,,,,,,,,,,
Banquet,Bloc Party,True,,,,,,,,,,,,,
The Fear,Lily Allen,True,,,,,,,,,,,,,
Supersonic,Oasis,True,,,,,,,,,,,,,
Common People,Pulp,True,,,,,,,,,,,,,
Little Things,One Direction,True,,,,,,,,,,,,,
Mouthwash,Kate Nash,True,,,,,,,,,,,,,
Live And Let Die,Paul McCartney,True,,,,,,,,,,,,,
Goodbye Yellow Brick Road,Elton John,True,,,,,,,,,,,,,
Feel,Robbie Williams,True,,,,,,,,,,,,,
End of a Century,Blur,True,,,,,,,,,,,,,
Don't Throw Your Love Away,The Searchers,True,,,,,,,,,,,,,
Wannabe,Spice Girls,True,,,,,,,,,,,,,
Rehab,Amy Winehouse,True,,,,,,,,,,,,,
How Ya Doin'?,Little Mix,True,,,,,,,,,,,,,
Empire,Kasabian,True,,,,,,,,,,,,,
New Born,Muse,True,,,,,,,,,,,,,
All Summer Long,Kid Rock,True,,,,,,,,,,,,,
You & Me,Disclosure,True,,,,,,,,,,,,,
Stole the Show,Kygo,True,,,,,,,,,,,,,
What Do You Mean?,Justin Bieber,True,,,,,,,,,,,,,
Don't Look Down (feat. Usher),Martin Garrix,True,,,,,,,,,,,,,
Outside (feat. Ellie Goulding),Calvin Harris,True,,,,,,,,,,,,,
Off the Wall,Michael Jackson,True,,,,,,,,,,,,,
Take on Me,a-ha,True,,,,,,,,,,,,,
Dancing Queen,ABBA,True,,,,,,,,,,,,,
My Forbidden Lover,CHIC,True,,,,,,,,,,,,,
Don't Stop The Music,Yarbrough & Peoples,True,,,,,,,,,,,,,
One Way or Another (Teenage Kicks),One Direction,True,,,,,,,,,,,,,
Tarzan Boy,Baltimora,True,,,,,,,,,,,,,
Believe,Cher,True,,,,,,,,,,,,,
On The Radio,Donna Summer,True,,,,,,,,,,,,,
Relax,Frankie Goes To Hollywood,True,,,,,,,,,,,,,
Greyhound,Swedish House Mafia,True,,,,,,,,,,,,,
Take A Chance On Me,ABBA,True,,,,,,,,,,,,,
Into the Groove,Madonna,True,,,,,,,,,,,,,
Disturbia,Rihanna,True,,,,,,,,,,,,,
Love To Love You Baby,Donna Summer,True,,,,,,,,,,,,,
Jump to the Beat,Stacy Lattisaw,True,,,,,,,,,,,,,
Tell It to My Heart,Taylor Dayne,True,,,,,,,,,,,,,
"Money, Money, Money",ABBA,True,,,,,,,,,,,,,
Papa Was A Rollin' Stone,The Temptations,True,,,,,,,,,,,,,
Best Song Ever,One Direction,True,,,,,,,,,,,,,
Tainted Love,Soft Cell,True,,,,,,,,,,,,,
Vogue,Madonna,True,,,,,,,,,,,,,
Knock On Wood,Amii Stewart,True,,,,,,,,,,,,,
Come & Get It,Selena Gomez,True,,,,,,,,,,,,,
Total Eclipse of the Heart,Bonnie Tyler,True,,,,,,,,,,,,,
Our House,Madness,True,,,,,,,,,,,,,
Ain't Nobody,Chaka Khan,True,,,,,,,,,,,,,
Think About the Way,Ice Mc,True,,,,,,,,,,,,,
Every 1's a Winner,Hot Chocolate,True,,,,,,,,,,,,,
Hot Stuff,Donna Summer,True,,,,,,,,,,,,,
Time,Chase & Status,True,,,,,,,,,,,,,
End Credits,Chase & Status,True,,,,,,,,,,,,,
Propane Nightmares,Pendulum,True,,,,,,,,,,,,,
Why Does My Heart Feel So Bad?,Moby,True,,,,,,,,,,,,,
One,Swedish House Mafia,True,,,,,,,,,,,,,
Me And You,NERO,True,,,,,,,,,,,,,
Harlem Shake,Baauer,True,,,,,,,,,,,,,
Ooh La La,Goldfrapp,True,,,,,,,,,,,,,
We'll Be Coming Back (feat. Example),Calvin Harris,True,,,,,,,,,,,,,
The Blower's Daughter,Damien Rice,True,,,,,,,,,,,,,
Jesus of Suburbia,Green Day,True,,,,,,,,,,,,,
9 Crimes,Damien Rice,True,,,,,,,,,,,,,
Going Under,Evanescence,True,,,,,,,,,,,,,
Before I Forget,Slipknot,True,,,,,,,,,,,,,
Toxicity,System Of A Down,True,,,,,,,,,,,,,
Flavor Of The Weak,American Hi-Fi,True,,,,,,,,,,,,,
Pain,Jimmy Eat World,True,,,,,,,,,,,,,
The Scientist,Coldplay,True,,,,,,,,,,,,,
I'm with You,Avril Lavigne,True,,,,,,,,,,,,,
The Cave,Mumford & Sons,True,,,,,,,,,,,,,
If You Could Read My Mind,Gordon Lightfoot,True,,,,,,,,,,,,,
Fast Car,Tracy Chapman,True,,,,,,,,,,,,,
Only Love,Ben Howard,True,,,,,,,,,,,,,
The A Team,Ed Sheeran,True,,,,,,,,,,,,,
Little Lion Man,Mumford & Sons,True,,,,,,,,,,,,,
Everlong,Foo Fighters,True,,,,,,,,,,,,,
Greedy Fly,Bush,True,,,,,,,,,,,,,
Buddy Holly,Weezer,True,,,,,,,,,,,,,
Hanging By A Moment,Lifehouse,True,,,,,,,,,,,,,
Only Happy When It Rains,Garbage,True,,,,,,,,,,,,,
Crank That (Soulja Boy),Soulja Boy,True,,,,,,,,,,,,,
Gold Digger,Kanye West,True,,,,,,,,,,,,,
goosebumps,Travis Scott,True,,,,,,,,,,,,,
X,Xzibit,True,,,,,,,,,,,,,
Mockingbird,Eminem,True,,,,,,,,,,,,,
Don't Believe The Hype,Public Enemy,True,,,,,,,,,,,,,
Always On Time,Ja Rule,True,,,,,,,,,,,,,
All Falls Down,Kanye West,True,,,,,,,,,,,,,
Just A Lil Bit,50 Cent,True,,,,,,,,,,,,,
I Saw Mommy Kissing Santa Claus,Jimmy Boyd,True,,,,,,,,,,,,,
If I Were A Carpenter,Bobby Darin,True,,,,,,,,,,,,,
White Christmas,Bing Crosby,True,,,,,,,,,,,,,
Let's Go (feat. Ne-Yo),Calvin Harris,True,,,,,,,,,,,,,
Call Me Maybe,Carly Rae Jepsen,True,,,,,,,,,,,,,
Technologic,Daft Punk,True,,,,,,,,,,,,,
Guiding Light,Mumford & Sons,True,,,,,,,,,,,,,
Nude,Radiohead,True,,,,,,,,,,,,,
Oxford Comma,Vampire Weekend,True,,,,,,,,,,,,,
Midnight in Moscow,Kenny Ball,True,,,,,,,,,,,,,
Don't Leave,Snakehips,True,,,,,,,,,,,,,
Last Friday Night (T.G.I.F.),Katy Perry,True,,,,,,,,,,,,,
Moonlight,XXXTENTACION,True,,,,,,,,,,,,,
All of Me,John Legend,True,,,,,,,,,,,,,
Your Song,Rita Ora,True,,,,,,,,,,,,,
Human,Rag'n'Bone Man,True,,,,,,,,,,,,,
You Don't Know Me,Jax Jones,True,,,,,,,,,,,,,
See You Again (feat. Charlie Puth),Wiz Khalifa,True,,,,,,,,,,,,,
Millionaire (feat. Nelly),Cash Cash,True,,,,,,,,,,,,,
Wolves,Selena Gomez,True,,,,,,,,,,,,,
Boom Clap,Charli XCX,True,,,,,,,,,,,,,
Jealous,Labrinth,True,,,,,,,,,,,,,
Youngblood,5 Seconds of Summer,True,,,,,,,,,,,,,
Flames,David Guetta,True,,,,,,,,,,,,,
Perfect,Ed Sheeran,True,,,,,,,,,,,,,
iSpy (feat. Lil Yachty),KYLE,True,,,,,,,,,,,,,
Say Something,A Great Big World,True,,,,,,,,,,,,,
Hotter Than Hell,Dua Lipa,True,,,,,,,,,,,,,
Amnesia,5 Seconds of Summer,True,,,,,,,,,,,,,
You Don't Know Love,Olly Murs,True,,,,,,,,,,,,,
Hotline Bling,Drake,True,,,,,,,,,,,,,
Better,Khalid,True,,,,,,,,,,,,,
Dangerous Woman,Ariana Grande,True,,,,,,,,,,,,,
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,True,,,,,,,,,,,,,
Lonely Together (feat. Rita Ora),Avicii,True,,,,,,,,,,,,,
Dark Horse,Katy Perry,True,,,,,,,,,,,,,
FRIENDS,Marshmello,True,,,,,,,,,,,,,
Woman Like Me (feat. Nicki Minaj),Little Mix,True,,,,,,,,,,,,,
Hold the Line,TOTO,True,,,,,,,,,,,,,
Smooth (feat. Rob Thomas),Santana,True,,,,,,,,,,,,,
Hurt,Johnny Cash,True,,,,,,,,,,,,,
American Woman,The Guess Who,True,,,,,,,,,,,,,
The Reason,Hoobastank,True,,,,,,,,,,,,,
Heathens,Twenty One Pilots,True,,,,,,,,,,,,,
American Girl,Tom Petty and the Heartbreakers,True,,,,,,,,,,,,,
Cold as Ice,Foreigner,True,,,,,,,,,,,,,
Even Flow,Pearl Jam,True,,,,,,,,,,,,,
Cryin',Aerosmith,True,,,,,,,,,,,,,
Whiskey In The Jar,Metallica,True,,,,,,,,,,,,,
American Idiot,Green Day,True,,,,,,,,,,,,,
Island In The Sun,Weezer,True,,,,,,,,,,,,,
Are You Gonna Go My Way,Lenny Kravitz,True,,,,,,,,,,,,,
Freak On a Leash,Korn,True,,,,,,,,,,,,,
Somewhere I Belong,Linkin Park,True,,,,,,,,,,,,,
Take Me Out,Franz Ferdinand,True,,,,,,,,,,,,,
Radar Love,Golden Earring,True,,,,,,,,,,,,,
Hurt,Johnny Cash,True,,,,,,,,,,,,,
Keep A Knockin,Little Richard,True,,,,,,,,,,,,,
Gotta Be Somebody,Nickelback,True,,,,,,,,,,,,,
Burning Love,Elvis Presley,True,,,,,,,,,,,,,
Good Golly Miss Molly,Little Richard,True,,,,,,,,,,,,,
The Weight,The Band,True,,,,,,,,,,,,,
20th Century Boy,T. Rex,True,,,,,,,,,,,,,
Little Sister,Queens of the Stone Age,True,,,,,,,,,,,,,
Don't Bring Me Down,Electric Light Orchestra,True,,,,,,,,,,,,,
Monkey Business,Skid Row,True,,,,,,,,,,,,,
Walk Of Life,Dire Straits,True,,,,,,,,,,,,,
I Want You to Want Me,Cheap Trick,True,,,,,,,,,,,,,
Stray Cat Strut,Stray Cats,True,,,,,,,,,,,,,
Whiskey In The Jar,Metallica,True,,,,,,,,,,,,,
Sultans Of Swing,Dire Straits,True,,,,,,,,,,,,,
The River,Bruce Springsteen,True,,,,,,,,,,,,,
Runaway,Del Shannon,True,,,,,,,,,,,,,
(You're The) Devil in Disguise,Elvis Presley,True,,,,,,,,,,,,,
Unskinny Bop,Poison,True,,,,,,,,,,,,,
Climax,Usher,True,,,,,,,,,,,,,
Amazed,Lonestar,True,,,,,,,,,,,,,
Heaven,Bryan Adams,True,,,,,,,,,,,,,
Every Teardrop Is a Waterfall,Coldplay,True,,,,,,,,,,,,,
Forever,Chris Brown,True,,,,,,,,,,,,,
Te Amo,Rihanna,True,,,,,,,,,,,,,
Better in Time,Leona Lewis,True,,,,,,,,,,,,,
Mockingbird,Eminem,True,,,,,,,,,,,,,
All That Matters,Justin Bieber,True,,,,,,,,,,,,,
Angel,Sarah McLachlan,True,,,,,,,,,,,,,
The One That Got Away,Katy Perry,True,,,,,,,,,,,,,
Riptide,Vance Joy,True,,,,,,,,,,,,,
Cheers (Drink To That),Rihanna,True,,,,,,,,,,,,,
By Your Side,Sade,True,,,,,,,,,,,,,
Marry You,Bruno Mars,True,,,,,,,,,,,,,
Neon Lights,Demi Lovato,True,,,,,,,,,,,,,
Bassline Junkie,Dizzee Rascal,True,,,,,,,,,,,,,
(Everything I Do) I Do It For You,Bryan Adams,True,,,,,,,,,,,,,
Could You Be Loved,Bob Marley & The Wailers,True,,,,,,,,,,,,,
Stay,Rihanna,True,,,,,,,,,,,,,
Without You,Mariah Carey,True,,,,,,,,,,,,,
And I Am Telling You I'm Not Going,Jennifer Hudson,True,,,,,,,,,,,,,
Treasure,Bruno Mars,True,,,,,,,,,,,,,
I'm Coming Out,Diana Ross,True,,,,,,,,,,,,,
Never Can Say Goodbye,The Jackson 5,True,,,,,,,,,,,,,
Hey Jude,Wilson Pickett,True,,,,,,,,,,,,,
I Can't Get Next To You,The Temptations,True,,,,,,,,,,,,,
It Takes Two,Marvin Gaye,True,,,,,,,,,,,,,
My Girl,Otis Redding,True,,,,,,,,,,,,,
I Just Want To Make Love To You,Etta James,True,,,,,,,,,,,,,
Crazy,Gnarls Barkley,True,,,,,,,,,,,,,
No One,Alicia Keys,True,,,,,,,,,,,,,
Papa's Got A Brand New Bag,James Brown,True,,,,,,,,,,,,,
Shake,Otis Redding,True,,,,,,,,,,,,,
I Feel for You,Chaka Khan,True,,,,,,,,,,,,,
Ain't No Sunshine,Michael Jackson,True,,,,,,,,,,,,,
Lost Without U,Robin Thicke,True,,,,,,,,,,,,,
Still,Commodores,True,,,,,,,,,,,,,
The Lazy Song,Bruno Mars,True,,,,,,,,,,,,,
She Doesn't Mind,Sean Paul,True,,,,,,,,,,,,,
Suit & Tie,Justin Timberlake,True,,,,,,,,,,,,,
Live It Up,Jennifer Lopez,True,,,,,,,,,,,,,
Ghost,Ella Henderson,True,,,,,,,,,,,,,
Hello,Martin Solveig,True,,,,,,,,,,,,,
Blurred Lines,Robin Thicke,True,,,,,,,,,,,,,
Alejandro,Lady Gaga,True,,,,,,,,,,,,,
All Around The World,Justin Bieber,True,,,,,,,,,,,,,
Na Na,Trey Songz,True,,,,,,,,,,,,,
Part Of Me,Katy Perry,True,,,,,,,,,,,,,
Boombastic,Shaggy,True,,,,,,,,,,,,,
Get Lucky (feat. Pharrell Williams & Nile Rodgers),Daft Punk,True,,,,,,,,,,,,,
Señorita,Justin Timberlake,True,,,,,,,,,,,,,
Started From the Bottom,Drake,True,,,,,,,,,,,,,
I'm Yours,Jason Mraz,True,,,,,,,,,,,,,
Where Have You Been,Rihanna,True,,,,,,,,,,,,,
The Rhythm of the Night,Corona,True,,,,,,,,,,,,,
Poison,Groove Coverage,True,,,,,,,,,,,,,
White Noise,Disclosure,True,,,,,,,,,,,,,
In The Dark,DEV,True,,,,,,,,,,,,,
Time Of Our Lives,Paul van Dyk,True,,,,,,,,,,,,,
Insomnia,Faithless,True,,,,,,,,,,,,,
God Is a DJ,Faithless,True,,,,,,,,,,,,,
Outside,Staind,True,,,,,,,,,,,,,
Of The Night,Bastille,True,,,,,,,,,,,,,
Love Will Tear Us Apart,Joy Division,True,,,,,,,,,,,,,
The Wire,HAIM,True,,,,,,,,,,,,,
Bring Me To Life,Evanescence,True,,,,,,,,,,,,,
If I Lose Myself,OneRepublic,True,,,,,,,,,,,,,
Black Hole Sun,Soundgarden,True,,,,,,,,,,,,,
Let's Stay Together,Al Green,True,,,,,,,,,,,,,
On The Road Again,Canned Heat,True,,,,,,,,,,,,,
My Baby Just Cares For Me,Nina Simone,True,,,,,,,,,,,,,
Army of Two,Olly Murs,True,,,,,,,,,,,,,
Don't Stand So Close To Me,The Police,True,,,,,,,,,,,,,
Pride (In The Name Of Love),U2,True,,,,,,,,,,,,,
Hand on Heart,Olly Murs,True,,,,,,,,,,,,,
Sheila,Jamie T,True,,,,,,,,,,,,,
Our Day Will Come,Amy Winehouse,True,,,,,,,,,,,,,
(I Just) Died In Your Arms,Cutting Crew,True,,,,,,,,,,,,,
Underdog,Kasabian,True,,,,,,,,,,,,,
Small Bump,Ed Sheeran,True,,,,,,,,,,,,,
Don't Let Me Be Misunderstood,The Animals,True,,,,,,,,,,,,,
Roll With It,Oasis,True,,,,,,,,,,,,,
Angels,Robbie Williams,True,,,,,,,,,,,,,
One Day Like This,Elbow,True,,,,,,,,,,,,,
Country House,Blur,True,,,,,,,,,,,,,
It's All Over Now,The Rolling Stones,True,,,,,,,,,,,,,
22,Lily Allen,True,,,,,,,,,,,,,
Nights In White Satin,The Moody Blues,True,,,,,,,,,,,,,
Someone Like You,Adele,True,,,,,,,,,,,,,
No You Girls,Franz Ferdinand,True,,,,,,,,,,,,,
It's My Life,The Animals,True,,,,,,,,,,,,,
Make Luv,Room 5,True,,,,,,,,,,,,,
Finale (feat. Nicholas Petricca),Madeon,True,,,,,,,,,,,,,
One Last Time,Ariana Grande,True,,,,,,,,,,,,,
Shine,Years & Years,True,,,,,,,,,,,,,
Break Free,Ariana Grande,True,,,,,,,,,,,,,
What I Might Do,Ben Pearce,True,,,,,,,,,,,,,
Go All Night,Gorgon City,True,,,,,,,,,,,,,
All About That Bass,Meghan Trainor,True,,,,,,,,,,,,,
Midnight City,M83,True,,,,,,,,,,,,,
Just Dance,Lady Gaga,True,,,,,,,,,,,,,
How Will I Know,Whitney Houston,True,,,,,,,,,,,,,
"More, More, More",Andrea True Connection,True,,,,,,,,,,,,,
Ymca,Village People,True,,,,,,,,,,,,,
Womanizer,Britney Spears,True,,,,,,,,,,,,,
I Feel Love,Donna Summer,True,,,,,,,,,,,,,
I Feel Love,Donna Summer,True,,,,,,,,,,,,,
Dance Little Lady Dance,Tina Charles,True,,,,,,,,,,,,,
Here Comes the Hotstepper,Ini Kamoze,True,,,,,,,,,,,,,
Love Really Hurts Without You,Billy Ocean,True,,,,,,,,,,,,,
Low (feat. T-Pain),Flo Rida,True,,,,,,,,,,,,,
Machine Gun,Commodores,True,,,,,,,,,,,,,
You Win Again,Bee Gees,True,,,,,,,,,,,,,
Live While We're Young,One Direction,True,,,,,,,,,,,,,
Scream,Usher,True,,,,,,,,,,,,,
Hot Stuff,Donna Summer,True,,,,,,,,,,,,,
The Monster,Eminem,True,,,,,,,,,,,,,
This Is Me,Demi Lovato,True,,,,,,,,,,,,,
Ready For The Floor,Hot Chip,True,,,,,,,,,,,,,
Burnin',Daft Punk,True,,,,,,,,,,,,,
Da Funk,Daft Punk,True,,,,,,,,,,,,,
I Love It (feat. Charli XCX),Icona Pop,True,,,,,,,,,,,,,
Without You (feat. Usher),David Guetta,True,,,,,,,,,,,,,
Lost In Your Love,Redlight,True,,,,,,,,,,,,,
Jar of Hearts,Christina Perri,True,,,,,,,,,,,,,
Famous Last Words,My Chemical Romance,True,,,,,,,,,,,,,
On Top Of The World,Imagine Dragons,True,,,,,,,,,,,,,
Lightning Crashes,Live,True,,,,,,,,,,,,,
Wish You Were Here,Incubus,True,,,,,,,,,,,,,
Midlife Crisis,Faith No More,True,,,,,,,,,,,,,
Otherside,Red Hot Chili Peppers,True,,,,,,,,,,,,,
By the Way,Red Hot Chili Peppers,True,,,,,,,,,,,,,
Mmm Mmm Mmm Mmm,Crash Test Dummies,True,,,,,,,,,,,,,
Burden In My Hand,Soundgarden,True,,,,,,,,,,,,,
Killing In The Name,Rage Against The Machine,True,,,,,,,,,,,,,
"Would? - Live at the Majestic Theatre, Brooklyn, NY - April 1996",Alice In Chains,True,,,,,,,,,,,,,
Sugar Kane,Sonic Youth,True,,,,,,,,,,,,,
Island In The Sun,Weezer,True,,,,,,,,,,,,,
We Own It (Fast & Furious),2 Chainz,True,,,,,,,,,,,,,
Yikes,Kanye West,True,,,,,,,,,,,,,
Unforgettable,French Montana,True,,,,,,,,,,,,,
Slam,Onyx,True,,,,,,,,,,,,,
ZEZE (feat. Travis Scott & Offset),Kodak Black,True,,,,,,,,,,,,,
Girls,Beastie Boys,True,,,,,,,,,,,,,
FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,True,,,,,,,,,,,,,
I Wanna Love You,Akon,True,,,,,,,,,,,,,
Super Bass,Nicki Minaj,True,,,,,,,,,,,,,
Mary's Boy Child,Harry Belafonte,True,,,,,,,,,,,,,
Winter World Of Love,Engelbert Humperdinck,True,,,,,,,,,,,,,
Never Do a Tango with an Eskimo,Alma Cogan,True,,,,,,,,,,,,,
Jingle Bell Rock,Bobby Helms,True,,,,,,,,,,,,,
Take Over Control (feat. Eva Simons),Afrojack,True,,,,,,,,,,,,,
Feel The Vibe,Axwell,True,,,,,,,,,,,,,
212,Azealia Banks,True,,,,,,,,,,,,,
Ready For Your Love,Gorgon City,True,,,,,,,,,,,,,
Diamonds,Rihanna,True,,,,,,,,,,,,,
Break Free,Ariana Grande,True,,,,,,,,,,,,,
Another Chance,Roger Sanchez,True,,,,,,,,,,,,,
Young Love (feat. Laura Marling),Mystery Jets,True,,,,,,,,,,,,,
Oye Como Va,Tito Puente,True,,,,,,,,,,,,,
"Hello, Dolly!",Louis Armstrong,True,,,,,,,,,,,,,
Mine,Bazzi,True,,,,,,,,,,,,,
The Music Of The Night,Sarah Brightman,True,,,,,,,,,,,,,
Bon Appétit,Katy Perry,True,,,,,,,,,,,,,
Thunder,Imagine Dragons,True,,,,,,,,,,,,,
679 (feat. Remy Boyz),Fetty Wap,True,,,,,,,,,,,,,
Alarm,Anne-Marie,True,,,,,,,,,,,,,
Locked out of Heaven,Bruno Mars,True,,,,,,,,,,,,,
Instruction (feat. Demi Lovato & Stefflon Don),Jax Jones,True,,,,,,,,,,,,,
The Monster,Eminem,True,,,,,,,,,,,,,
Heart Attack,Demi Lovato,True,,,,,,,,,,,,,
Too Good,Drake,True,,,,,,,,,,,,,
24K Magic,Bruno Mars,True,,,,,,,,,,,,,
Sexual,NEIKED,True,,,,,,,,,,,,,
LIKE I WOULD,ZAYN,True,,,,,,,,,,,,,
Work,Rihanna,True,,,,,,,,,,,,,
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,True,,,,,,,,,,,,,
Cake By The Ocean,DNCE,True,,,,,,,,,,,,,
Pray,Sam Smith,True,,,,,,,,,,,,,
Always Remember Us This Way,Lady Gaga,True,,,,,,,,,,,,,
Am I Wrong,Nico & Vinz,True,,,,,,,,,,,,,
Call Me Maybe,Carly Rae Jepsen,True,,,,,,,,,,,,,
Gucci Gang,Lil Pump,True,,,,,,,,,,,,,
Psycho (feat. Ty Dolla $ign),Post Malone,True,,,,,,,,,,,,,
Be Yourself,Audioslave,True,,,,,,,,,,,,,
You Give Love A Bad Name,Bon Jovi,True,,,,,,,,,,,,,
Brothers In Arms,Dire Straits,True,,,,,,,,,,,,,
Are You Gonna Be My Girl,Jet,True,,,,,,,,,,,,,
Friday I'm In Love,The Cure,True,,,,,,,,,,,,,
R U Mine?,Arctic Monkeys,True,,,,,,,,,,,,,
Take A Look Around,Limp Bizkit,True,,,,,,,,,,,,,
Light My Fire,The Doors,True,,,,,,,,,,,,,
Beautiful Day,U2,True,,,,,,,,,,,,,
The Wind Cries Mary,Jimi Hendrix,True,,,,,,,,,,,,,
Run To You,Bryan Adams,True,,,,,,,,,,,,,
The Zephyr Song,Red Hot Chili Peppers,True,,,,,,,,,,,,,
Two Princes,Spin Doctors,True,,,,,,,,,,,,,
Wall of Glass,Liam Gallagher,True,,,,,,,,,,,,,
My Way,Limp Bizkit,True,,,,,,,,,,,,,
Knockin' On Heaven's Door,Bob Dylan,True,,,,,,,,,,,,,
Have You Ever Seen The Rain,Creedence Clearwater Revival,True,,,,,,,,,,,,,
Know Your Enemy,Green Day,True,,,,,,,,,,,,,
Don't Stop,Fleetwood Mac,True,,,,,,,,,,,,,
Here I Go Again,Whitesnake,True,,,,,,,,,,,,,
Here I Go Again,Whitesnake,True,,,,,,,,,,,,,
Run To You,Bryan Adams,True,,,,,,,,,,,,,
The Passenger,Iggy Pop,True,,,,,,,,,,,,,
Crazy,Aerosmith,True,,,,,,,,,,,,,
Long Tall Sally,Little Richard,True,,,,,,,,,,,,,
Race With the Devil,Gene Vincent,True,,,,,,,,,,,,,
Cryin',Aerosmith,True,,,,,,,,,,,,,
Summertime Blues,Eddie Cochran,True,,,,,,,,,,,,,
A Big Hunk O' Love,Elvis Presley,True,,,,,,,,,,,,,
Ballroom Blitz,Sweet,True,,,,,,,,,,,,,
I'm a Believer,The Monkees,True,,,,,,,,,,,,,
Mirror,Lil Wayne,True,,,,,,,,,,,,,
I Have Nothing,Whitney Houston,True,,,,,,,,,,,,,
Ordinary People,John Legend,True,,,,,,,,,,,,,
Take My Breath Away,Berlin,True,,,,,,,,,,,,,
Only Time,Enya,True,,,,,,,,,,,,,
Summertime Sadness,Lana Del Rey,True,,,,,,,,,,,,,
Set Fire to the Rain,Adele,True,,,,,,,,,,,,,
I Wanna Know,Joe,True,,,,,,,,,,,,,
There Is a Light That Never Goes Out,The Smiths,True,,,,,,,,,,,,,
You Belong With Me,Taylor Swift,True,,,,,,,,,,,,,
(I've Had) The Time of My Life,Bill Medley,True,,,,,,,,,,,,,
November Rain,Guns N' Roses,True,,,,,,,,,,,,,
You Raise Me Up,Westlife,True,,,,,,,,,,,,,
The Reason,Hoobastank,True,,,,,,,,,,,,,
One,Ed Sheeran,True,,,,,,,,,,,,,
It Girl,Jason Derulo,True,,,,,,,,,,,,,
Cool Kids,Echosmith,True,,,,,,,,,,,,,
If You're Not The One,Daniel Bedingfield,True,,,,,,,,,,,,,
Like A Star,Corinne Bailey Rae,True,,,,,,,,,,,,,
That's The Way Love Goes,Janet Jackson,True,,,,,,,,,,,,,
Love Don't Live Here Anymore,Rose Royce,True,,,,,,,,,,,,,
Somebody Else's Guy,Jocelyn Brown,True,,,,,,,,,,,,,
Make You Feel My Love,Adele,True,,,,,,,,,,,,,
Dance With My Father,Luther Vandross,True,,,,,,,,,,,,,
What A Wonderful World,Louis Armstrong,True,,,,,,,,,,,,,
What's Love Got to Do with It,Tina Turner,True,,,,,,,,,,,,,
Just The Way You Are,Bruno Mars,True,,,,,,,,,,,,,
You Are The Sunshine Of My Life,Stevie Wonder,True,,,,,,,,,,,,,
Stepping Stone,Duffy,True,,,,,,,,,,,,,
One Day I'll Fly Away,Randy Crawford,True,,,,,,,,,,,,,
My Love Is Your Love,Whitney Houston,True,,,,,,,,,,,,,
You're All I Need To Get By,Marvin Gaye,True,,,,,,,,,,,,,
Standing In The Shadows Of Love,Four Tops,True,,,,,,,,,,,,,
"You're The First, The Last, My Everything",Barry White,True,,,,,,,,,,,,,
Music (feat. Marvin Gaye),Erick Sermon,True,,,,,,,,,,,,,
Pick Up The Pieces,Average White Band,True,,,,,,,,,,,,,
Rock Your Body,Justin Timberlake,True,,,,,,,,,,,,,
Don't Stop Believin',Journey,True,,,,,,,,,,,,,
Turn Me On,Kevin Lyttle,True,,,,,,,,,,,,,
Sunny Afternoon,The Kinks,True,,,,,,,,,,,,,
New Shoes,Paolo Nutini,True,,,,,,,,,,,,,
Mmm Yeah,Austin Mahone,True,,,,,,,,,,,,,
Drinking from the Bottle (feat. Tinie Tempah),Calvin Harris,True,,,,,,,,,,,,,
Roses,Outkast,True,,,,,,,,,,,,,
Finale (feat. Nicholas Petricca),Madeon,True,,,,,,,,,,,,,
Radioactive,Imagine Dragons,True,,,,,,,,,,,,,
Take Me Home (feat. Bebe Rexha),Cash Cash,True,,,,,,,,,,,,,
Tidal Wave,Sub Focus,True,,,,,,,,,,,,,
Electric Feel,MGMT,True,,,,,,,,,,,,,
Komodo,Mauro Picotto,True,,,,,,,,,,,,,
Cry,System F,True,,,,,,,,,,,,,
Wait for Me,Kings of Leon,True,,,,,,,,,,,,,
Walk,Foo Fighters,True,,,,,,,,,,,,,
Brianstorm,Arctic Monkeys,True,,,,,,,,,,,,,
Helena,My Chemical Romance,True,,,,,,,,,,,,,
Lithium,Nirvana,True,,,,,,,,,,,,,
Times Like These,Foo Fighters,True,,,,,,,,,,,,,
Going Under,Evanescence,True,,,,,,,,,,,,,
Crawling,Linkin Park,True,,,,,,,,,,,,,
Radioactive,Kings of Leon,True,,,,,,,,,,,,,
Just A Girl,No Doubt,True,,,,,,,,,,,,,
Even Flow,Pearl Jam,True,,,,,,,,,,,,,
Cousins,Vampire Weekend,True,,,,,,,,,,,,,
