track_id,track_name,artist_id,artist_name
1tsOB58QHINgc2FEJylsLP,Foxey Lady,776Uo845nYHJpNaStv1Ds4,Jimi Hendrix
5WSL7UTa38jMWoBzObD4BD,I Can't Stop,7muzHifhMdnfN1xncRLOqk,Flux Pavilion
56KqaFSGTb7ifpt16t5Y1N,Rock the Casbah - Remastered,3RGLhK1IP9jnYFH4BRFJBS,The Clash
0eG5CqXwJpa5MBjYyg1lRm,Slide,2sil8z5kiy4r76CRTXxBCA,The Goo Goo Dolls
0lqNstW27BvhHXn6sqyQhX,What Is Love,0Suv0tRrNrUlRzAy8aXjma,Haddaway
4ryCsPW9l4Am2aKYiJuZnJ,Back Door Man,0Wxy5Qka8BN9crcFkiAxSR,Howlin' Wolf
3sdrzlJmVJxQTC5gtfs4M4,"Cello Suite No. 5 in C Minor, BWV 1011: II. Allemande",5aIqB5nVVvmFsvSdExz408,Johann Sebastian Bach
11Ry5uMLuZsCnSq0yZoyXS,Rock Me,4y6J8jwRAwO4dssiSmN91R,Muddy Waters
37KWuFlX1Huz0kNzciHcAm,Crossroads - Live,74oJ4qxwOZvX6oSsu1DGnw,Cream
1jEtdpOF6uyPQbRv2UOnkJ,Revolution (feat. Faustix & Imanos and Kai),5fMUXHkw8R8eOP2RNVYEZX,Diplo
5CMjjywI0eZMixPeqNd75R,Lose Yourself to Dance (feat. Pharrell Williams),4tZwfgrHOc3mvqYlEYSvVi,Daft Punk
6gGSSrKMiV2yec1DrqGhhy,Always Where I Need To Be,1GLtl8uqKmnyCWxHmw9tL4,The Kooks
6pCc5a0y7MUhfdMWTdiPhN,Carmen Suite No. 2: III. Nocturne,2D7RkvtKKb6E5UmbjQM1Jd,Georges Bizet
7KATU5SV5dNmETSDLbJmZc,Jeremy,1w5Kfo2jwwIPruYS2UWh56,Pearl Jam
1BXO5XG7ctHzjzpRRKlWZd,Start Me Up - Remastered,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones
0VxFKXvKLjYWU7oPPMwzuN,Somewhere Only We Know,53A0W3U0s8diEn9RhXQhVz,Keane
0ygAYQQy7bfDN6gH640bbl,Wake Me Up,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran
