track_id,track_name,artist_id,artist_name
3WsgkhWH001sMkbZVcjreS,And the Hero Will Drown,0KDuKk6YdEu3hR56HtXmxt,Story Of The Year
4jJCTq6FwyBCDT4mLmVgJg,House By The Sea,4M5nCE77Qaxayuhp3fVn4V,Iron & Wine
23R13fn8Jvqf1QcnHeB0EA,The Plains / Bitter Dancer,4EVpmkEwrLYEg6jIsiPMIb,Fleet Foxes
3sUH0JiRGGWOaCd46abkRA,Token Of Time,0krXCIkthz13P8o0v2tksH,Ensiferum
6QHYEZlm9wyfXfEM1vSu1P,Boots of Spanish Leather,74ASZWbe4lXaubB36ztrGX,Bob Dylan
3wSEEwkoXYrk21eDi6nDFe,Slanias Song,5X0N2k3qMnI8kSrGJT3kfT,Eluveitie
4JvVpKrYmsrIbyAsYuNm9e,Ivory Black,3ldZSv4kK1NQnohM0sjIR0,Seryn
4AlZ0FgehhgtLHddKx0Ou7,Cali in a Cup,2sBPVEeMBXKNsZtYaJixnJ,Woods
49FiU7fWnjZ0R5AyT6L0kF,Tuck the Darkness In,4MoGkOmfK6oKi1Isc8Iv9m,Bowerbirds
7IJlk42gDKt5dfSSLwtEsp,Chinese Translation,6nXSnNEdLuKTzAQozRtqiI,M. Ward
42DQ9iFZPGGeScjCDM6vyK,Wishing Well,5GqSLrKrvXqNQEjJfEYyg3,Cheyenne Marie Mize
2yqbORIwuQWkwaLPcgOy3F,Victory,3GjVVVcFmUgEJEAAsbGkf4,Trampled by Turtles
6nLzJ8T2TP4vf7Bfm3Kcd2,Agape,0nJaMZM8paoA5HEUTUXPqi,Bear's Den
1pcRBBcn6cW7wlKaTwFDun,Golden Thread (feat. Matt Corby),0gadJ2b9A4SKsB1RFkBb66,Passenger
7m2VsHmjyXZegtndWPgxOw,Wonderwall,2qc41rNTtdLK0tV3mJn2Pm,Ryan Adams
1jdNcAD8Ir58RlsdGjJJdx,Ho Hey,16oZKvXb6WkQlVAjwo2Wbg,The Lumineers
4oeRfmp9XpKWym6YD1WvBP,You and I,2vm8GdHyrJh2O2MfbQFYG0,Ingrid Michaelson
33gHvO5eLnhxKHgGDu6xu9,Ain't No Grave,7LOJ56d8VmOebynlV01KfU,Crooked Still
5Gtn8HgCAo0TUiaKKgP6us,Down in the Valley,0n94vC3S9c3mb2HyNAOcjg,The Head And The Heart
1D5FmNZhSF28kix4U0uGoW,Blood To Gold,2NqgE99Ll5vOTvmbN7O2R6,Boy & Bear
6g0eFcVGt4tSJpJ2FdIQv0,The Last Thing on My Mind,55kipiKplrHBCZN6L1gtrv,Tom Paxton
2kARZH1SSseRigNMbgtDzB,Your Rocky Spine,2HcZuUtnktqMHm4H1R9gAR,Great Lake Swimmers
1VvyRNSVBKuvENwpyiVlBU,Elephant Gun,6pmxr66tMAePxzOLfjGNcX,Beirut
4vkX3rP0eVMRUXlAT89Hks,The Motherlode,5G49Sq5mMzAkGL4ZP6eVPY,The Staves
1rOvnNmRQ1VFjwXLOnjmsI,Drain You - Live At The Paramount,6olE6TJLqED3rqDCT0FyPh,Nirvana
6jn46QaU0LusKc0TePPuoy,You,3R6c2tWDBeYB1GncjLMn9n,Candlebox
2Avh5LgyS4UCeYbzmgiSg9,Who You Are,1w5Kfo2jwwIPruYS2UWh56,Pearl Jam
7yEKGqv8FyIzuPVWZtPe8Z,Man Of Golden Words,3XR64HmFo4OvexUUNW7TP0,Mother Love Bone
6GhARgb2Nl2GboIVdQsevV,We Only Come Out At Night - Remastered 2012,40Yq4vzPs9VNUrIBG5Jr2i,The Smashing Pumpkins
5gw55IexPLnJMXaGs8s4Tc,I Don't Know Anything,0T7JQxpy1Li93vLNirbv0Z,Mad Season
23JkMspKjlSdIwvmll4hRA,Goin' Blind,6aVjo0xHSiuW5hkasoYSR3,Melvins
27KzTjPvpNCGeKzRsRiEKm,The Chemicals Between Us,78SHxLdtysAXgywQ4vE0Oa,Bush
1klrDyGRsCBPofZdqdaZp6,God Smack (2022 Remaster),64tNsm6TnZe2zpcMVMOoHL,Alice In Chains
56SkdBKyR2zOkjk6wVFI9s,Possum Kingdom,2QMMktUMtwMSwUZATX1cRO,Toadies
7Hd4BJFPRYnF8FRyVhrXJr,You Are,1w5Kfo2jwwIPruYS2UWh56,Pearl Jam
5dndBL5i7RAr4CNVjxeX0V,Private Hell,64tNsm6TnZe2zpcMVMOoHL,Alice In Chains
46wCXtUqCtSUjde2DJWqJR,"Breed - Live At London Astoria, UK, December 3, 1989",6olE6TJLqED3rqDCT0FyPh,Nirvana
6R4kW0PiMzn6hgQjP9rSAp,Phantom Limb,64tNsm6TnZe2zpcMVMOoHL,Alice In Chains
2kN05N1AQQplsgFweFAqYb,These Days,7jy3rLJdDQY21OgRLCZ9sD,Foo Fighters
1L6BrtDhR1JQeKFYALA6Yc,Unglued,2UazAtjfzqBF0Nho2awK4z,Stone Temple Pilots
6r7b1s7hN2hpXaB4z5Haf7,The Money Will Roll Right In - 1992/Live at Reading,6olE6TJLqED3rqDCT0FyPh,Nirvana
3lZ0Z0HNs4Jg2xXGbuutN5,Whale & Wasp,64tNsm6TnZe2zpcMVMOoHL,Alice In Chains
5VVuxxuQIJD0pjjFls1DKL,No One Knows,4pejUc4iciQfgdX6OKulQn,Queens of the Stone Age
6qBSeft0cJFs5N0RGpbstt,For Celebrations Past,3Ukr3Ufjg8ygRJv7Ww887f,Screaming Trees
3l2EpjN1MEGNWeUYOkraQB,Future Days,1w5Kfo2jwwIPruYS2UWh56,Pearl Jam
33iv3wnGMrrDugd7GBso1z,My Own Worst Enemy,5mgr0FFpvy267wKVAYg8qp,Lit
7jeJmfEIYeP8WorNIKJCqD,Spank Thru - 1992/Live at Reading,6olE6TJLqED3rqDCT0FyPh,Nirvana
1I0K800Ool9zOIxXhP31u2,Aya Davanita - Remastered,1w5Kfo2jwwIPruYS2UWh56,Pearl Jam
5UuqngtAma8NMXPIM4WCE4,Circle Of Power,5xUf6j4upBrXZPg6AI4MRK,Soundgarden
6uJhCao8wULMrDOZOuS5rc,Over Now,64tNsm6TnZe2zpcMVMOoHL,Alice In Chains
72oiKwTwejHrwUxJ7Nur8r,Blood - Remastered,1w5Kfo2jwwIPruYS2UWh56,Pearl Jam
0cSJGFChou7M6u2ju9SWN1,Microphone Fiend,6jHG1YQkqgojdEzerwvrVv,Eric B. & Rakim
6WlxcZKpEV6Bwe9InoVhMp,WIFI LIT,1RyvyyTE3xzB2ZywiAwp0i,Future
1Bqxj0aH5KewYHKUg1IdrF,Some Kind Of Drug (feat. Marc E. Bassy),02kJSzxNuaWGqwubyUba0Z,G-Eazy
3kgy6gz61XtWzgGw4Xh8CJ,Life's a Bitch (feat. AZ & Olu Dara),20qISvAhX20dpIbOOzGK3q,Nas
