track_id,track_name,artist_id,artist_name
5tEfvMwWaCKlLSXGXNayzT,The Lord's Prayer,5wPQygZ2q8scaXVIPYlclu,Albert Hay Malotte
6y8vYcoVOBmSYBT626p0bz,The Christmas Song,7FMGtucexJvUxVz7scydEL,Joe Williams
2DO2aGAsPKrmIrB9J4ih0m,Baby It's Cold Outside,49e4v89VmlDcFCMyDv9wQ9,Dean Martin
69uHXz26ipOqj45AKDEVv5,The Little Boy That Santa Claus Forgot,2rJkmlVHePMo2gk0InTZRS,Vera Lynn
2WDxLrQO7YYPYnMYRcxFO3,Medley: Jolly Old St. Nicholas / The Little Drummer Boy,7LfRnzGM0wRSyS5mmAwJbv,Ray Conniff
6cUUprbEweoIE1802Ly880,White Christmas,6iWkhfvI0raTI7Akxo7ODQ,Al Hibbler
0D2RbTrYE78phUG7W5MUJG,Jingle Bells,3OpnoUqoRIHWbsFs4Nw0NQ,Nat King Cole Trio
1BH7G41u0fSCiVr13cP8W5,Never Do a Tango with an Eskimo,0oGo1uX2IixGBLb3fsiVnK,Alma Cogan
1wLuqls2TIDUaXfM0D7H91,Christmas Waltz,7FMGtucexJvUxVz7scydEL,Joe Williams
74u8cWJGP8d8xsdD0pFoWg,Jingle Bell Rock,38EmEgXkgK51MT2tPY0EoC,Bobby Helms
5Zm5exgSbnzb0JVsLCDxlm,Take Over Control (feat. Eva Simons),4D75GcNG95ebPtNvoNVXhz,Afrojack
4QMM2DYkevqryAshgdmVa1,Years - Hard Rock Sofa Remix,4AVFqumd2ogHFlRbKIjp1t,Alesso
6WXRIhPCWf2EJBGxXAWoZm,Roar,1xNmvlEiICkRlRGqlNFZ43,Axwell
2qq7sHFIexFKEvlNghevsj,Stay The Night - featuring Hayley Williams of Paramore,2qxJFvFYMEDqd7ui6kSAcq,Zedd
0hGSr4bb26syMkhIiPGNNe,Turn It Up,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike
0FtASn2bSCRjqD5X4x285e,Feel The Vibe,1xNmvlEiICkRlRGqlNFZ43,Axwell
61S6wtjY80a6vHxP3JHSgE,212,7gRhy3MIPHQo5CXYfWaw9I,Azealia Banks
7v4aRW5gAnF8ojfJeroD4u,Hey Hey - Radio Edit,0MGTHZpAGf7isSfw8yMIoi,Dennis Ferrer
5pmSezbf3VZeXvYBkggLhw,Devil's Work - Dirty South Remix,4l1cKWYW591xnwEGxpUg3J,Miike Snow
1eiXLANaZCSKIfDmwTorg5,Best Day Of My Life - Gazzo Remix,0MlOPi3zIDMVrfA9R04Fe3,American Authors
5IbszAVWtk2p7R7Y7hHlBp,Babylon - Steve Angello Edit,683obsKtbyVNhitubjOZhi,Congorock
7LGrlydlwonTN6iz8x5ASe,Dare You (feat. Matthew Koma) - Radio Edit,6BrvowZBreEkXzJQMpL174,Hardwell
4AkBnM2fdS0IP9RAGDyKJW,All I Ever Wanted,5kp9Qhzri9LrDkzrtjt5Sh,Adrian Lux
4GqvWKAq6uKAcivJGnNAhR,Ping Pong,0SfsnGyD8FpIN4U4WCkBZ5,Armin van Buuren
1eQdx5j4mmZvKDRhr1FcLT,The Night Out - Maison and Dragen Remix,1bj5GrcLom5gZFF5t949Xl,Martin Solveig
1ehhFCpPQHBKfn1aCNMo8t,Ready For Your Love,4VNQWV2y1E97Eqo2D5UTjx,Gorgon City
0F3vUCjRzIA4gKB7ZfANKJ,Autosave - Radio Edit,7dc6hUwyuIhrZdh80eaCEE,Fedde Le Grand
3ek67X3cd65AZIJvTQ1I8k,No Superstar - Original Radio Mix,3JxNeLgMuJI0DEmDt9dLzc,Remady
16WRRncP1pJI0G87xh0Kja,People Of The Night - Dimitri Vangelis & Wyman Remix,3wPBMtzFP84b7UN786Sxhn,AN21
1MNcDFSophvufvfgju0d5T,Awooga - Original Mix,7CajNmpbOovFoOoasH2HaY,Calvin Harris
2VtX9viww814jnWFERUhAS,Follow You Down,2qxJFvFYMEDqd7ui6kSAcq,Zedd
4lYSY6He1Phabe5pXRmcRd,This Is My Life,6XwwFnewNgWp81MYMK8zLq,Edward Maya
1mwt9hzaH7idmC5UCoOUkz,Diamonds,5pKCCKE2ajJHZ9KAiaK11H,Rihanna
4IaWrjgRBfc3dz8yqmcpyA,Bangduck - Moguai Remix,4D75GcNG95ebPtNvoNVXhz,Afrojack
6CAxNXEVNtqmQmIXcElYHW,Buzzcut,1pbHrVayIcVpHI9z97u4bK,Bingo Players
3sQyQlEbhmxH7anwJqFDpw,Who's That Chick ? (feat. Rihanna) [Single Version],1Cs0zKBU1kc0i8ypK3B9ai,David Guetta
0tX1jIHWBXQQBIqxeAjp5i,I'm Not Alone - Radio Edit,7CajNmpbOovFoOoasH2HaY,Calvin Harris
2G6ZsgXKO6NtByBa2eBBpG,Dechorro - Original Mix,6VD4UEUPvtsemqD3mmTqCR,Deorro
5bw3ANysdLNdRl8wZfunVp,Last Chance,6TQj5BFPooTa08A7pk8AQ1,Kaskade
74eDdfWtlPPhjsRstBXUBc,I Need Your Love (feat. Ellie Goulding) - Nicky Romero Remix,7CajNmpbOovFoOoasH2HaY,Calvin Harris
5vjN7RZWtwpUYUGuwQ6dzO,Sweet Dreams - Avicii Swede Dreams Mix,1vCWHaC5f2uS3yhpwWbIA6,Avicii
7cvxrDu7VIhVSOFRNgPegv,Break Free,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande
2ueKL2MWoyfg1FnBpHOfbH,You And I - Deadmau5 Remix,7c7ZeiPKWHf2E1rsf1P4VF,Medina
1cV9bE8rTZswnQMpFNkx83,Slow Down - Radio Edit,3gk0OYeLFWYupGFRHqLSR7,Showtek
5d3G1HaIz17QUqkubhmF7h,Love Comes Again (Hardwell Rework),2o5jDhtHVPhrJdv3cEQ99Z,Tiësto
6Qa0Ll131h69K3ZG55fO6X,What I Might Do - Radio Edit,0mnlHIcYkz3TQQ07xiFwuz,Ben Pearce
7G5FO7sFeC7Idwu9cXzVNl,Sonnentanz (Sun Don’t Shine),041iTeoMIwXMlShuQPIVKo,Klangkarussell
59QNYJwQhLWWZmem0TTSDk,Resurrection - Axwell's Recut Club Version,4CuipEvwcoQggmCV8jpKF9,Michael Calfan
