track_id,track_name,track_popularity,artist_id,artist_name,artist_popularity,artist_followers
5V7LogbYVxv2DO4uHnpqd7,Nessun Dorma - Tourandot,0,0OzxPXyowUEQ532c9AmHUR,Giacomo Puccini,60,393189
5pqUc0SPA1EmhdOyD9Ou45,Sexual,40,5H6xmHXjsq98NLbEjuE29f,NEIKED,66,133208
3Q3myFA7q4Op95DOpHplaY,do re mi,1,2cFrymmkijnjDg9SS92EPM,blackbear,78,4806218
3bvjsHQd792zIO4SKFxXKs,Love on Me,51,4sTQVOfp9vEMCemLw50sbu,Galantis,73,3290609
0PJIbOdMs3bd5AT8liULMQ,oui,75,3KV3p5EY4AvKxOlhGHORLg,Jeremih,74,6010966
3bC1ahPIYt1btJzSSEyyrF,Whistle,77,0jnsk9HBra6NMjO2oANoPY,Flo Rida,77,8704966
5Z3GHaZ6ec9bsiI5BenrbY,Young Dumb & Broke,79,6LuN9FCkKOj5PcnpouEgny,Khalid,85,15636032
1LhMopPAallLeaeNutqbgS,Say Something (feat. Chris Stapleton),69,31TPClRtHm23RisEBtV3X7,Justin Timberlake,78,12375207
6H0AwSQ20mo62jGlPGB8S6,It's A Vibe,68,17lzZA2AlOHwCwFALHttmp,2 Chainz,75,7501856
49zD0wr2S3d0lZPib0K4e1,F*ck Up Some Commas,64,1RyvyyTE3xzB2ZywiAwp0i,Future,87,12514791
5tAa8Uaqr4VvA3693mbIhU,Ruin My Life,65,1Xylc3o4UrD53lo9CvFvVg,Zara Larsson,75,10355852
5WvAo7DNuPRmk4APhdPzi8,No Brainer,65,0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,78,8723054
49GpGYGli1xcxovgYf0k4c,We Don't Have To Take Our Clothes Off - Remastered 2015,65,66TrUkUZ3RM29dqeDQRgyA,Ella Eyre,68,801320
4178A5NkEjcsGc64jpBO6d,Calypso,57,4V8Sr092TqfHkfAA5fXXqG,Luis Fonsi,74,10717773
2uaiyLKnYvazyfR0Ky3Kbk,Let Me Down Slowly,0,5IH6FPUwQTxPSXurCrcIov,Alec Benjamin,76,3936287
