track_id,track_name,track_popularity,artist_id,artist_name,artist_popularity,artist_followers
7Kutf53V4k0CvU4nKu5oK6,Real Hip-Hop,51,0auu2itHTxEdAMRHvx7CyG,Das EFX,55,333736
4V3N5LvUOh3yDPP16cwAhE,Aquemini,57,1G9G7WwrXka3Z1r7aIDjI7,Outkast,73,2087848
01Ch5LzVStxCFPKkT1xg6k,sweet sweet,60,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,88,21413547
5K5dQsYdSdo2LKdepxbYAd,Gettin' It (feat. Parliament Funkadelic),62,4sb7rZNN93BSS6Gqgepo4v,Too $hort,63,1322523
75ZvA4QfFiZvzhj2xkaWAh,I Fall Apart,79,246dkjvS1zLTtiykXe5h60,Post Malone,87,38874119
0XGLsSU6wtfnKXiMNvQr61,Versace (Remix),58,6oMuImdp5ZcFhWP0ESe6mG,Migos,78,12736744
3wqjGZfKW36WhUeLHTlKzg,Who Want The Smoke? (feat. Cardi B & Offset),43,6icQOAFXDZKsumw3YXyusw,Lil Yachty,77,8505829
28FGV3ORH14MYORd7s5dlU,Not Alike (feat. Royce Da 5'9),63,7dGJo4pcD2V6oG8kP0tJRR,Eminem,91,62163501
4anqYZt4APNlFwQixpbdZR,Da Rockwilder,68,4VmEWwd8y9MCLwexFMdpwt,Method Man,70,1790416
3DXncPQOG4VBw3QHh3S817,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",71,0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,78,8723054
3nxgKa7boB4WjD0X01MXtJ,Misunderstood,50,21WS9wngs9AqFckK7yYJPM,PnB Rock,70,3592167
3qN5qMTKyEEmiTZD38BNTT,I'm Upset,68,3TVXtAsR1Inumwj472S9r4,Drake,97,69172212
1B5BfvGVQ5fPtDN2K8tUdy,Memory Lane (Sittin' in da Park),36,20qISvAhX20dpIbOOzGK3q,Nas,75,3056340
04Rz403IY7QUqgfrTWX6OU,Da Graveyard,47,30fiiwr2EeZp1tAhzYCmyM,Big L,59,733830
1z667LebVh3DtYNrVJEao0,All the Above (feat. T-Pain),59,20apXQGKM00jJTvYfyKwlb,Maino,48,184057
1B75hgRqe7A4fwee3g3Wmu,U Can't Touch This,73,2rblp9fJo16ZPTcKDtlmKW,MC Hammer,56,539991
4MAsYGSgxsaj73dC2lvFC4,WORKIN ME,56,0VRj0yCOv2FXJNP47XQnx5,Quavo,81,6088412
5sWbwccBcyHsg5LEKWGZo9,BRACKETS,58,6l3HvQ5sa6mXTsMTB19rO5,J. Cole,85,18435617
2cGJxXXIBrxMhk2fWUJTLs,Ooh Ahh (My Life Be Like) (feat. Toby Mac),3,6aUgzC0cMh0StjV7LyFEDr,Grits,53,78384
2OCTC6cPRdI3Dvdb25jRDC,We Can Freak It,53,6NyJIFHAePjHR1pFxwisqz,Kurupt,60,605382
5bJ1DrEM4hNCafcDd1oxHx,Self Care,79,4LLpKhyESsyAXpc4laK94U,Mac Miller,83,8235790
5BSz8sJO2YmKfNVQG7fq2J,ULT,53,6fxyWrfmjcbj5d12gXeiNV,Denzel Curry,72,1978007
7q8cy4uoA2itYATsKeXhcq,Multi Millionaire (feat. Lil Uzi Vert),40,3wyVrVrFCkukjdVIdirGVY,Lil Pump,65,7933107
3PGubBdFfQSHAHsXb068eG,Body,42,3Isy6kedDrgPYoTS1dazA9,Sean Paul,79,4126205
3eze1OsZ1rqeXkKStNfTmi,Juke Jam (feat. Justin Bieber & Towkio),62,1anyVhU62p31KFi8MEzkbf,Chance the Rapper,74,5775887
5IZc3KIVFhjzJ0L2kiXzUl,Promise (feat. Fetty Wap),62,6KZDXtSj0SzGOV705nNeh3,Kid Ink,67,2910521
3m8CQnnfJJp4eQMWWl3zay,Drank in My Cup,65,2r8r62VGJKGi463aH1HJUZ,Kirko Bangz,50,681391
49VzL5oBsUICN7U34T98b9,Instinct (feat. MadeinTYO),54,7mDU6nMUJnOSY2Hkjz5oqM,Roy Woods,61,925449
5IweeQZdY5XEzStLzUJG5t,Purple Pills,68,5Qi4Bb7a8C0a00NZcA77L0,D12,65,2587130
4hrae8atte6cRlSC9a7VCO,Always On Time,73,1J2VVASYAamtQ3Bt8wGgA6,Ja Rule,68,1524516
0dbTQYW3Ad1FTzIA9t90E8,Mona Lisa (feat. Kendrick Lamar),67,55Aa2cqylxrFIXC767Z865,Lil Wayne,84,12844442
2xbI8Vmyv3TkpTdywpPyNw,Selfish,72,21WS9wngs9AqFckK7yYJPM,PnB Rock,70,3592167
1ZAyjvIk9YiD76yYy0TEG6,Plug Walk,70,1pPmIToKXyGdsCF6LmqLmI,Rich The Kid,67,2920750
5XSQ9gBCM5iableEqmzUIC,There's Alot Going On,43,27w1NoOLMX7tJMYqcetPyG,VIC MENSA,59,593211
3ORfa5ilEthp2U0TRcv7kv,Patiently Waiting,63,3q7HBObVc0L8jNeTe5Gofh,50 Cent,82,9725373
0Fv5N0cHBsl4bzCbollCAS,Moves,59,0c173mlxpT3dSFRgMO8XPh,Big Sean,77,10216567
2Fe6gDE0mCZz0g98i5QpVL,MY PYT,49,67nwj3Y5sZQLl72VNUHEYE,Wale,70,3858342
7bp5DfkdK1OAvNJ1U4HfDA,Shadowboxin',65,6ns6XAOsw4B0nDUIovAOUO,GZA,61,453705
6u8hSdYZxbK5EczDPRIXXf,Something New (feat. Ty Dolla $ign),58,137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,81,10798575
4nva9EpKntUTs6CRSGBCn9,Just A Lil Bit,78,3q7HBObVc0L8jNeTe5Gofh,50 Cent,82,9725373
3QHPHLAkYV5cQBUYs6rowx,Gold Digger,65,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,90,18755413
57IRaiAB4hBZu3gnNVZC0v,No Smoke,62,7wlFDEWiM5OoIAt8RSli8b,YoungBoy Never Broke Again,83,9983924
5gdy0ytFSBQykiYc5NmhJL,Rollin' Like A Stoner,46,27w1NoOLMX7tJMYqcetPyG,VIC MENSA,59,593211
1oHNvJVbFkexQc0BpQp7Y4,Starships,73,0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,85,26632576
0XUfyU2QviPAs6bxSpXYG4,Yeah!,0,23zg3TcAtWQy7J6upgbUnj,Usher,78,10128610
1rZah1UGXvgiQCqLVlq4hS,King of Everything,54,137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,81,10798575
1wLuqls2TIDUaXfM0D7H91,Christmas Waltz,0,7FMGtucexJvUxVz7scydEL,Joe Williams,41,45940
