track_id,track_name,track_popularity,artist_id,artist_name,artist_popularity,artist_followers
4A8DzH3u3o7sukAqtjmIJT,"Partita No. 1 in B-Flat Major, BWV 825: II. Allemande",19,5aIqB5nVVvmFsvSdExz408,Johann Sebastian Bach,76,3774880
6E7DBUQdIkLF5FrlcmEbcX,Klarinettenkonzert Nr. 1 f-Moll: II. Adagio ma non troppo,11,1p6wR69pnH9LBWZvwliuz2,Carl Maria von Weber,46,42045
5pg9vSNAOFLtyZpUU42cBo,Warsaw Concerto,0,06LiIUiAEMBc6yLMXn2aEV,Richard Addinsell,19,876
2TkGYqnVFS0T5u2PYN6JQS,Some,0,5gqhueRUZEa7VDnQt4HODp,Nils Frahm,61,568865
6UIn6aFGQYeP2gNAlzSxDg,Constellations,0,1U0FaHAc4fcwQcYEJFgkm9,Balmorhea,50,153163
2PHZPYwfvkEDmyhIez05fq,Perth,38,79MO0KcrOdScKyzuDTtI3k,amiina,37,51906
0BqbWiOxccb0qQshm3Whjt,Cavalleria Rusticana (1987 - Remaster): Intermezzo (Orchestra),29,09KZU0NsS7jRa5p0SflmGY,Philharmonia Orchestra,62,57441
6uUiEQPBSdKQF8XUrsRhJk,Whispers,11,7hz41KzAPU4K0qUXDCc2ki,The National Lutheran Choir,27,3546
3exBKAzjmT57jjH1TTFBni,Theme and Variations,2,1xw2D0SqXA6qm7akRYJCMg,Ruth Crawford Seeger,9,1205
3zyeX4u4HUOC3NayEJOyck,O sacrum convivium!,0,6CS9O2pE67oq44GZuBEBuD,Olivier Messiaen,35,42427
2kN58xvwz2qrMzpGwrcM0m,"Swan Lake, Op.20, Act IV: 29. Finale (Andante - Allegro agitato - Alla breve - Moderato e maestoso)",0,3MKCzCnpzw3TjUYs2v7vDA,Pyotr Ilyich Tchaikovsky,69,1053214
1yDGdTKDpVYBarUyOFXwcF,"Le Concert royal de la Nuit, Grand Ballet, Le Soleil: Les Planètes - Entrée du Roy représentant le Soleil levant - Entrée des Génies",8,4kCZ5nyurc9eIqLJfUcW0Y,Anonymous,55,14470
40GqIVzbcamQsIlWZsgUqo,Concerto for Orchestra (after Marco Polo): IV. The Forbidden City,1,1GhO4jjafkz7yzMcGjGizT,Tan Dun,40,14610
2CIY2peTbSKNNHgykODpO4,"Toccata And Fugue In D Minor, BWV 565",34,52sDxFX9DvIxUupTy8f1yx,Leopold Stokowski,47,12736
7AE8dFDObE3tbl8JloJVJD,Sonata for Althorn and Piano: IV. Das Posthorn (Zwiegespräch) - Lebhaft,0,3u1fWmwpwPOmMelTAo0Gb8,Paul Hindemith,35,17208
2mYuazFCuAeDsU2EkY68Bp,Vaughan Williams: The Lark Ascending: Opening (Excerpt),0,7wNkISK49lKeXuRaZcQVFe,Ralph Vaughan Williams,51,87906
6kdDZ23tGL1g5cr1RjBlhj,"Symphony No.2 in C minor - ""Resurrection"": 5d. ""Aufersteh'n, ja aufersteh'n wirst du"" (Langsam. Misterioso) - ""Auferstehung""",0,2ANtgfhQkKpsW6EYSDqldz,Gustav Mahler,54,263832
3wcoGdd2Ff7wq76TyQfLko,Piano Sonata No.2: 4. Vif,0,2prZJWfQMnIgwUKxKcBxH7,Pierre Boulez,49,35787
5iIhoI5u2l8BxfyjTSUPjy,Adagio con variazioni,13,7KkUirCiJZhgRN3NbgG98L,Ottorino Respighi,54,37004
5jsmGi2CgYeB6LoodXYOch,All the Ends of the Earth,6,4AhGJX48US2OIdpSG7oo5c,Judith Weir,14,1005
2TZ0BlkBcBKOIQAljtkuyS,Country Band March,6,73s17iW5LTtXRMVoofi9sU,Charles Ives,27,23443
4rFxf3jRHH8YoOEh7opTli,"The Yellow Cake Review, Farewell to Stromness (Excerpt)",39,0IUwZRBFdts7QgNElmqsWR,Peter Maxwell Davies,27,3014
0QmpiO73JLMaCUFrt8p5ig,"Britten: The Young Person's Guide to the Orchestra, Op. 34: Fugue. Allegro molto",1,7MJ1pB5d6Vjmzep2zQlorn,Benjamin Britten,49,40724
7jSQaXLzpLHjSQTev2krvT,Nemo Egg (Main Title),63,1csBgT42N4pPPs1HJhxXIK,Thomas Newman,62,210200
0WyFpxYlBCgH1gMXd26OOr,Flatliner (feat. Dierks Bentley),61,1mfDfLsMxYcOOZkzBxvSVW,Cole Swindell,68,1934721
4zhSO5tu9NduAaq7KxhHhS,Fool Hearted Memory,54,5vngPClqofybhPERIqQMYd,George Strait,72,3492513
0mG66FLhO0iZ6XCAGdjpax,Elvira,58,3XnO697XIus1M0cMuxZjos,The Oak Ridge Boys,52,464259
3EyixzHY3pQOGJH1spPKRv,Billions,0,1E2AEtxaFaJtH0lO7kgNKw,Russell Dickerson,67,409470
7kCXmYJeltdnCMMsfwaCsf,Thought About You,0,6roFdX1y5BYSbp60OTJWMd,Tim McGraw,70,4201851
16jvUOIQ2P54P0bNN4rAdv,Best Days of Your Life,38,021hNAnkFIbyFyL97br6NB,Kellie Pickler,45,839283
7rdK9NSJIRBZAiXC0vuBS9,I'd Be Jealous Too,55,1dID9zgn0OV0Y8ud7Mh2tS,Dustin Lynch,65,1951261
6rJAu6uq9E0uxcZnQ4J2yH,Growin' Up,41,6jDzxywOhu6CcmS8MVzWlL,Walker McGuire,41,36163
6cjwec9ii5uLK7CDfPBYt1,Wide Open Spaces,67,25IG9fa7cbdmCIy3OnuH57,The Chicks,65,1313836
3D7GNDrpWwtknt9mFKa0we,Outlaw In Me,39,5q8HGNo0BjLWaTAhRtbwxa,Brantley Gilbert,66,2714271
1LZNdHSaGjV2S9q8BrZwnh,If the Boot Fits,47,4sTFGCigAQIUiEy8wSSQNF,Granger Smith,55,379893
3M31S6f0z8S3nkFh3eS06W,Drink to That All Night,61,0RKP52f5PNDCRZ9Luq2Sr7,Jerrod Niemann,51,480298
37JPdGgYcQAJSElj5boJx8,Some Girls Do,59,50hFWG3MaUUX5phNrrVc97,Sawyer Brown,51,489225
6waqLPcT6ruMhmd36OhmFO,Losing Sleep,57,4BYxqVkZyFjtik7crYLg5Q,Chris Young,66,2662044
7Lr4XaxGpkAwa37IVgg22k,Back To Life,56,0a1gHP0HAqALbEyxaD5Ngn,Rascal Flatts,68,3362327
6xrREPyyC5KESDhWfwqHiN,I Don't Remember Me (Before You),57,39NR3AUhpbbqKM33vWn2fp,Brothers Osborne,62,1077868
2mfahQ0EaaZWq4cFNg6A1o,All On Me,61,2ySHS7UojGu20XfUPaBlyu,Devin Dawson,57,194242
3lec3CzDPAxsZokPph5w87,"Jesus, Take the Wheel",62,4xFUf1FHVy696Q1JQZMTRj,Carrie Underwood,71,5488126
3E4zA2CVysuiMWurr4W9zE,Po-Dunk,45,7dOBabd5O4CvKrg4iriHTM,Kid Rock,65,2214366
55UCRHfezMCFfbGy0tfjTG,Monsters,52,2IvkS5MXK0vPGnwyJsrEyV,Eric Church,70,3576993
6UtB0ezZwMneQIfLJ1Yzc1,I've Been Meaning to Call,36,17ewtqMhsRUPRdhpYLzMxg,Adam Sanders,43,37886
0fNCLvSVUEK7NTwhu5vk5B,Consider Me Gone,0,02rd0anEWfMtF7iMku9uor,Reba McEntire,61,1767636
6YKL9gCOH31W5fanjQTtqq,Close,39,0GAapPTQR8KFJxrNZOKksy,Ryan Kinder,37,14351
5s7m2xNZWgz5FqVSIvJcGA,Save a Horse (Ride a Cowboy),68,0oBEeN6BCxEgMogzThqrPf,Big & Rich,56,1111308
0VWPd2zYt1430jL6XtUjep,Bop,53,55yEsJBqyn27JPsw5hHzqi,Dan Seals,49,166604
2HieRfsSSwQA1JUtfmRNgo,Carry On,42,0EhgpjUqiIIQhM6ZRF4kXX,Pat Green,46,135911
0c36gHE4gFzaJL6ItRjHRd,God Made A Woman,43,0RKP52f5PNDCRZ9Luq2Sr7,Jerrod Niemann,51,480298
3QYapnFXMqThx3F2Xbj2nW,Say (feat. Dan + Shay),41,5dMnvpYEfXvSexjwnSRH5n,RaeLynn,53,426831
0v6nJ15ROHRtYWcpLvJCZE,Billy's Got His Beer Goggles On - Remastered Version,50,69Etpls5a2aATUkB6NInTY,Neal McCoy,47,396776
4e4fqjx0Izh4svvTef1z7e,Meant to Be (feat. Florida Georgia Line),71,64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,83,7733413
2TAcwD5KcV9uY3O1tLGV15,Are You Gonna Kiss Me Or Not,65,0Bvs8yPjrQSbmVIRqSg1Sp,Thompson Square,48,431524
5995mHLcqAJBX60f3iaCeq,Forty Hour Week (For a Livin'),26,6rJqqRce0Kvo2dJUXoHleC,Alabama,63,1144278
7ys1F3g544o8KJGCUodYRV,Look Up Child,0,40LHVA5BTQp9RxHOQ9JPYj,Lauren Daigle,68,2232113
0b1Xx3vUapY6ZOqbPMcpDq,Outta Style,49,5BKzvAPtNXnt0LwzGvKOH3,Aaron Watson,51,229242
6jqTb1OLC379SqjjIB0Ukg,Good Together,0,54lUDwCk35ihJuK3yJCqHA,James Barker Band,51,127766
5Fxizz8oqR40JA4kLh79Ot,Chevrolet DJ,36,1mfDfLsMxYcOOZkzBxvSVW,Cole Swindell,68,1934721
3I7krC8kr0gFR7P6vInR1I,Do I Make You Wanna,64,1By9QBFnjZAoI83BZppHlt,Billy Currington,65,2439320
5BzDjeCZYxDd35rYSWY0yk,Drivin’ Around Song (feat. Jason Aldean),54,0OpWIlokQeE7BNQMhuu2Nx,Colt Ford,61,1043335
7AnGT6SsidoBRPhaQo8r11,Smoke In Her Eyes,0,0oBEeN6BCxEgMogzThqrPf,Big & Rich,56,1111308
2RK1UcrkifLJGBvMtfNhjy,Life's a Party,35,7tje8UB3cuR1ZfeJx2U38T,Logan Mize,53,97381
292hQrFkBjVmbHRqGVqBta,Cleaning This Gun (Come On In Boy),55,2qgvmDsc4jrqbAbjq1HGM2,Rodney Atkins,60,1800884
7fkGuyDiJoqHbMiPqjqNKx,Right Where I Need To Be,0,37W8SKV5Vc8lcGtdyWCA5m,Gary Allan,58,1006440
5kCsIDXG306DriJZ2gViLt,Outlaw Women,56,2dyeCWctcFRt3Pha76ONgb,"Hank Williams, Jr.",64,1372107
1JFAQD37vxGz7509895bWl,Never Land,39,6eKWqnckwdIlSnjaYgIyxv,Eli Young Band,60,765579
