track_id,track_name,track_popularity,artist_id,artist_name,artist_popularity,artist_followers
5QhPiUySPmu8WRgyXQRLZX,Lost Coastlines,0,5E7zSu46SqTmgKqsc0tFkY,Okkervil River,41,115622
0XS4cNqj1UKkzzUqpqpzLg,Child,0,7giUHu5pv6YTZgSkxxCcgh,Edward Sharpe & The Magnetic Zeros,61,1008584
1L2CVzHtRTCFBnBSbvHHre,I 4 U & U 4 Me - Home Demo,16,7ITd48RbLVpUfheE7B86o2,The Decemberists,53,570601
4yYvWFUWMaKMXtoJKJnmZk,Shuffle,60,3pTE9iaJTkWns3mxpNQlJV,Bombay Bicycle Club,57,824021
1MJYnWM0q7frZA0fea8ucJ,Pretty Girl From Michigan,39,196lKsA13K3keVXMDFK66q,The Avett Brothers,60,950341
5Vo0yC87CpnOd7F0R78E51,All the Little Lights,36,0gadJ2b9A4SKsB1RFkBb66,Passenger,70,3072267
2Oehrcv4Kov0SuIgWyQY9e,Demons,0,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,88,43605162
4q1LP4YcHOIUy8XSqpR8HH,Promise,0,5schNIzWdI9gJ1QRK8SBnc,Ben Howard,64,1953133
2kdwtu4L3Fq7vQMvdVgDZs,The Gardener,0,2BpAc5eK7Rz5GAwSp9UYXa,The Tallest Man On Earth,53,622034
4eRgwG92GKCjAcrRlGeoIo,Two Matchsticks,17,5rsPXVRen0RDTeHHyrmmLF,The Wooden Birds,18,4736
1Hs085AOaoXrknVZExcE80,Set The Fire To The Third Bar,0,3rIZMv9rysU7JkLzEaC5Jp,Snow Patrol,67,2717212
0YOOXnCJihgyluizqhAcrz,Fare Thee Well (Dink's Song),54,5opRYqktzpMFqZ7jtnp7yy,Oscar Isaac,40,29174
6LwvkhKOTuaInZ6AvIwMBN,Mayla,0,7giUHu5pv6YTZgSkxxCcgh,Edward Sharpe & The Magnetic Zeros,61,1008584
0Kl6MoQqbE2brrpdWcXrNe,Where Have All the Flowers Gone? - Live,26,1P9syEkl41IFowWIJN7ZBY,Pete Seeger,43,148357
3aX6cwaJg97tqhNG0ErHpO,The Traveling Song,0,196lKsA13K3keVXMDFK66q,The Avett Brothers,60,950341
4QAslghrKrs38Fj7C81nuP,Song for Motion,0,4FAhiYIYzT3xDWRiIiPXTi,Lowlakes,7,2696
28VaOkPDwZjOeSDwEmCYAg,Communion Cups And Someone's Coat,0,4M5nCE77Qaxayuhp3fVn4V,Iron & Wine,62,1034562
68KCwQ2PNKNT17sEx32DEG,Dance Me to the End of Love - Bonus,51,6J7rw7NELJUCThPbAfyLIE,The Civil Wars,57,801933
3LeNQIGi0zwmQm8WShZB95,No One's Gonna Love You,0,0OdUWJ0sBjDrqHygGUXeCF,Band of Horses,59,962894
27v2g1E6L8PviA51pze7gk,We Don't Eat - Acoustic Version,29,7FDlvgcodNfC0IBdWevl4u,James Vincent McMorrow,57,583061
3ABYGT6fB6ocDDYZ7vj4lj,Sounds Like Hallelujah,0,0n94vC3S9c3mb2HyNAOcjg,The Head And The Heart,62,1013962
4Cfn1AAAAUJC9cI4AwGAld,Hit 'Em up Style,43,6H8Sj9gFyDYJ3T63LA3DKz,Carolina Chocolate Drops,38,130224
574GJ55EBM79W6n2V5bL5z,Slow It Down,0,16oZKvXb6WkQlVAjwo2Wbg,The Lumineers,76,4937158
4K1qhaWfyvO9yl3DSrrW5T,Don't Wake the Scarecrow,0,4Ajgo7nAsTzjSFymIfBjZ1,The Felice Brothers,40,68980
4qoD4IJbbir3hsAu4IowiG,Devil's Backbone,47,6J7rw7NELJUCThPbAfyLIE,The Civil Wars,57,801933
5U4pLWFBQ97wjYnvPq96R4,Broken Crown,0,3gd8FJtBJtkRxdfbTu19U2,Mumford & Sons,71,6386564
2QFNn7WWrWQL45SqWc9EjR,All Alone In An Empty House,0,3634pboiWrEMkmIrpuqf1I,Lost In The Trees,26,19544
2ZheGCM31EbCwUfGs0WJB1,Barton Hollow,0,6J7rw7NELJUCThPbAfyLIE,The Civil Wars,57,801933
14Iey63UC7ohaE6d9srFrE,There´s No Leaving Now,0,2BpAc5eK7Rz5GAwSp9UYXa,The Tallest Man On Earth,53,622034
5GAsM7OSHbADUNk78HXXnM,The Diaz Brothers,0,3hyGGjxu73JuzBa757H6R5,The Mountain Goats,57,332950
4BSO2gPSFdjz2ZKc9OTh0N,Hannah,36,6DoH7ywD5BcQvjloe9OcIj,Ray LaMontagne,63,951264
6FGaaYcufXk2hymKmx0g8G,Nomads,0,5XuI2JDHFlW8CHzVzje9a1,Joe Banfi,6,1330
0jYxmKsxHCCsdzQPFFUeM1,Knots,0,0z7Yuv7DuDQ5SaVn4VSlLt,Lisa Hannigan,52,172077
33BoJJrV065a1mfPpWOLi6,Time To Think,0,0h8q5Df7MVYUDg4Ic8IHwF,Sean Rowe,37,56095
