track_id,track_name,track_popularity,artist_id,artist_name,artist_popularity,artist_followers
6d60PUNxtkWtEBuXjeCxqz,"The Scream Extractor - From ""Monsters, Inc.""/Score",0,3HQyFCFFfJO3KKBlUfZsyW,Randy Newman,59,190322
1eDZIeyA1RTde03uG4wRkr,"Spread Your Wings (Demo Recording) - From ""Dumbo""",22,497FibW7265st1H0UfpGb2,Oliver Wallace,39,12365
7v2U9e2QGmquKhY6XO6uWT,Var Beredd,29,55kdFkpOt95EyFbQtxIh7V,Kör,12,50
1ozK0ME79SCzqvr3ttmztu,Transformation,0,5sy77gt4bfsLcSQ8GIe4ZZ,Alan Menken,59,101554
4m6emBqGVqKjVfRa5AnDMx,Dois Mundos (Two Worlds) - Final,0,19nFjml2GjS4LuL4NrDa7D,Ed Motta,46,169345
7cW3WFkFn9TjUIllxPYGbj,What Made Red Man Red / Tinknapped,32,5s5jvj5TkkMkQDR28awRsA,The Jud Conlon Chorus,34,2485
6gsyzNWOSOWSiRgSOuKLgp,Hero,33,533HtQP5btWIZcKlHJtEWK,Christopher Wilde,51,201777
3aHoA5g6LOm5IJUEHVhCuc,Du finns inom mig,42,07sJTHzs0NqNEXJLy1enIc,Pelle Ankarberg,32,2761
7yKQz8za5CAzV3t98CKota,The Garden / All in the Golden Afternoon,35,762gpacQ6WcT75zlkrc3Ls,Kathryn Beaumont,39,2546
6tvn0OvYUFJUh9rIA3LGGI,"Awakening - From ""Sleeping Beauty""/Score",23,5T60shnsXD8hlLRDsbvFoO,George Bruns,41,18164
6gcqfBm1lhTRLCQze6KQHz,Såna Som Jag,0,07sJTHzs0NqNEXJLy1enIc,Pelle Ankarberg,32,2761
5MTQbjkMmE6WsDQ8JlyEVo,Play My Music,52,7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,75,6618719
1Dc6Mb9u2az5sQOvqfOqX7,The Bell Tower,39,5sy77gt4bfsLcSQ8GIe4ZZ,Alan Menken,59,101554
6Qmh0h83wg8q3d3Pm2Dzhi,Our Time Is Here,33,6S2OmqARrzebs0tKUEyXyp,Demi Lovato,79,23654521
5qPmR4nG3nNAECAN5JxrEV,Heartbeat - Chase & Status We Just Bought A Guitar Mix,47,0VX4MyYhvKRtU1AZUVGLUZ,Nneka,43,178003
4r9vXMUhhR9SSqvykng4LY,Dope Spot - Original Mix,1,3JD7kDvfplPfjdfZRDxR9m,Robot Empire,0,269
7qNcydyexUTe6mtjMGXkL2,Watch It Burn,0,2N8IPNZTiNo3nj4mreOlHU,Camo & Krooked,54,201285
2OYqUCfKihPt6iaYuAyaYb,Opium,0,4BTcOR2hEQZQQL5AMo5u10,Rusko,45,283118
2Gci99F6iU2p78jTuJO8ix,Hyphycide,0,6VOifgR9dl65Y4McyK5vr3,Nit Grit,21,9732
